"","Blood","TumorCore","TumorEdge"
"RP11-34P13.7",3,4,6
"RP11-34P13.8",0,0,0
"CICP27",0,2,0
"RP11-34P13.15",0,0,0
"RP11-34P13.13",12,8,19
"AP006222.2",3,3,11
"RP4-669L17.10",1,0,3
"RP5-857K21.4",0,1,2
"MTND1P23",1631,1259,1441
"MTND2P28",67,43,57
"MTATP6P1",418,500,547
"RP11-206L10.2",84,41,93
"RP11-206L10.9",13,16,28
"RP11-206L10.8",40,26,31
"FAM87B",0,0,1
"LINC01128",119,86,133
"LINC00115",52,35,66
"FAM41C",4,3,1
"RP11-54O7.1",0,1,0
"RP11-54O7.3",0,0,0
"SAMD11",1,3,5
"NOC2L",715,433,704
"KLHL17",8,6,26
"PLEKHN1",39,66,93
"PERM1",0,0,1
"RP11-54O7.17",0,2,1
"HES4",8,17,38
"ISG15",1603,1860,3378
"AGRN",1,4,6
"RP11-465B22.3",7,12,6
"RP11-54O7.18",0,1,1
"C1orf159",65,33,49
"RP11-465B22.8",1,0,0
"TTLL10-AS1",0,0,0
"TTLL10",7,2,7
"TNFRSF18",223,2403,2144
"TNFRSF4",458,3003,2434
"SDF4",1222,1075,1382
"B3GALT6",79,115,102
"RP5-902P8.12",1,3,3
"UBE2J2",841,450,764
"SCNN1D",10,4,8
"ACAP3",131,74,125
"PUSL1",132,86,129
"CPTP",260,94,177
"TAS1R3",3,0,1
"DVL1",18,19,32
"MXRA8",2,1,0
"AURKAIP1",1639,1147,1831
"CCNL2",754,494,971
"RP4-758J18.2",331,106,212
"MRPL20",2039,1351,2136
"RP4-758J18.13",3,1,5
"ANKRD65",0,0,0
"VWA1",0,1,1
"ATAD3C",45,21,24
"ATAD3B",93,58,84
"ATAD3A",101,84,119
"TMEM240",5,2,1
"SSU72",2804,1539,2589
"RP5-832C2.5",143,62,133
"RP11-345P4.9",113,37,107
"MIB2",674,310,566
"MMP23B",52,41,62
"CDK11B",870,661,1036
"RP11-345P4.10",9,1,7
"SLC35E2B",494,287,405
"RP11-345P4.6",12,7,12
"MMP23A",0,0,1
"CDK11A",463,420,585
"RP1-283E3.8",64,25,32
"RP1-283E3.4",143,24,48
"SLC35E2",46,9,17
"NADK",159,135,206
"GNB1",702,708,929
"RP1-140A9.1",7,1,5
"CALML6",0,0,0
"TMEM52",1,1,5
"CFAP74",2,2,2
"GABRD",0,0,1
"PRKCZ",129,115,202
"RP5-892K4.1",59,18,49
"RP11-181G12.4",1,1,1
"SKI",178,232,366
"MORN1",30,10,21
"RP4-740C4.5",3,0,1
"RP4-740C4.7",9,1,4
"RER1",1270,1023,1593
"PEX10",141,49,95
"PLCH2",45,38,103
"RP3-395M20.2",0,0,0
"PANK4",104,147,207
"HES5",0,1,0
"RP3-395M20.12",293,120,267
"RP3-395M20.8",103,138,214
"TNFRSF14",1951,1013,1682
"RP3-395M20.9",50,24,30
"FAM213B",143,93,127
"MMEL1",28,13,15
"TTC34",45,5,6
"LINC00982",0,0,0
"PRDM16",0,1,6
"RP11-193J6.1",0,0,0
"RP11-22L13.1",0,0,0
"ARHGEF16",0,0,0
"MEGF6",35,13,23
"RP11-46F15.2",11,0,6
"TPRG1L",188,86,116
"WRAP73",258,222,387
"TP73",2,21,35
"TP73-AS1",97,39,73
"CCDC27",0,0,0
"SMIM1",55,26,32
"LRRC47",423,251,389
"RN7SL574P",3,3,2
"RP1-286D6.5",1,0,0
"CEP104",344,269,401
"DFFB",100,41,78
"C1orf174",402,292,419
"LINC01134",1,1,0
"AJAP1",1,0,0
"RP11-154H17.1",10,0,0
"NPHP4",13,11,14
"KCNAB2",571,371,686
"CHD5",0,1,2
"RPL22",37953,12284,18917
"RP1-120G22.11",2,0,2
"RNF207",74,115,132
"ICMT",199,132,220
"LINC00337",2,3,4
"GPR153",2,1,10
"ACOT7",72,111,215
"RP1-202O8.3",39,10,14
"HES2",2,5,10
"ESPN",38,29,29
"TNFRSF25",1424,1007,1462
"PLEKHG5",15,3,5
"NOL9",380,125,253
"RP11-58A11.2",0,0,0
"TAS1R1",0,0,0
"ZBTB48",129,88,142
"KLHL21",89,54,116
"PHF13",56,36,72
"THAP3",174,111,177
"DNAJC11",147,108,138
"RP11-312B8.1",5,0,2
"CAMTA1",913,559,955
"CAMTA1-IT1",0,3,2
"RP11-338N10.2",1,0,0
"RP11-338N10.3",1,1,0
"VAMP3",318,203,317
"RP3-467L1.6",0,0,1
"PER3",62,34,62
"RP3-467L1.4",11,4,10
"UTS2",839,298,777
"TNFRSF9",8,1309,1366
"PARK7",3688,3585,5690
"ERRFI1",12,71,219
"RP11-431K24.1",0,4,4
"RP11-431K24.4",0,0,0
"SLC45A1",7,11,8
"RERE",349,405,549
"RP5-1115A15.1",4,0,2
"RPL7P7",15,3,10
"RP4-633I8.4",0,0,0
"ENO1",5670,5311,7692
"ENO1-IT1",15,8,19
"ENO1-AS1",11,6,11
"RP3-477M7.5",6,2,1
"CA6",35,2,1
"SLC2A5",2,4,0
"SCARNA16",0,0,1
"GPR157",33,13,29
"H6PD",156,133,221
"SPSB1",22,114,154
"SLC25A33",127,152,232
"RP13-15M17.1",0,1,1
"TMEM201",19,14,21
"PIK3CD",519,346,511
"PIK3CD-AS1",8,1,8
"PIK3CD-AS2",21,12,17
"CLSTN1",720,440,732
"CTNNBIP1",216,160,290
"LZIC",478,342,480
"RP11-84A14.4",8,5,15
"NMNAT1",97,42,61
"RN7SKP269",1,0,0
"RBP7",2,0,7
"UBE4B",271,187,309
"KIF1B",138,135,212
"PGD",188,138,207
"RP4-736L20.3",2,1,1
"APITD1-CORT",1,0,1
"CORT",0,0,0
"DFFA",392,218,387
"RP5-1113E3.3",0,0,0
"PEX14",160,125,206
"CASZ1",33,50,68
"RP4-734G22.3",0,0,0
"C1orf127",0,0,0
"MASP2",3,0,1
"RP4-635E18.8",6,3,3
"SRM",584,467,667
"EXOSC10",351,208,345
"RP4-635E18.7",7,2,2
"RP4-635E18.6",4,5,1
"MTOR",114,98,138
"ANGPTL7",0,1,0
"UBIAD1",291,106,194
"FBXO2",95,111,199
"FBXO44",377,236,445
"FBXO6",152,239,459
"MAD2L2",418,359,565
"DRAXIN",7,10,19
"AGTRAP",464,401,571
"C1orf167",1,0,3
"MTHFR",135,103,158
"CLCN6",30,16,41
"NPPA-AS1",3,2,4
"RNU5E-1",21,12,18
"RNU5E-4P",4,0,1
"KIAA2013",180,158,240
"PLOD1",10,17,31
"MFN2",118,86,166
"MIIP",312,266,416
"TNFRSF8",0,60,44
"TNFRSF1B",1001,2956,3785
"VPS13D",281,145,247
"DHRS3",275,210,405
"RP11-474O21.5",2,2,1
"HNRNPCL1",0,0,0
"PDPN",0,0,0
"PRDM2",1024,964,1290
"KAZN",3,7,4
"TMEM51-AS1",0,0,1
"TMEM51",0,2,2
"FHAD1",4,3,3
"RP3-467K16.2",0,1,1
"RP3-467K16.4",2,3,3
"EFHD2",581,602,758
"CTRC",1,1,4
"CELA2A",0,0,0
"CASP9",42,67,89
"DNAJC16",122,99,126
"RP4-680D5.8",2,2,3
"AGMAT",150,80,154
"RP4-680D5.2",1,0,2
"CHCHD2P6",2,3,2
"DDI2",135,125,212
"RP4-680D5.9",0,1,0
"PLEKHM2",66,79,128
"RP11-288I21.1",0,0,1
"SLC25A34",1,1,3
"FBLIM1",12,13,20
"UQCRHL",99,95,135
"RP11-169K16.8",70,38,51
"FLJ37453",194,88,127
"SPEN",688,635,947
"RP1-134O19.3",0,1,1
"ZBTB17",131,139,222
"RP11-5P18.1",5,6,9
"HSPB7",0,0,0
"FAM131C",1,0,1
"EPHA2",1,1,0
"ARHGEF19",72,29,67
"RSG1",19,12,18
"MT1XP1",15,5,6
"FBXO42",271,153,315
"SZRD1",628,495,821
"RP11-430L17.1",0,1,1
"SPATA21",0,0,3
"NECAP2",1924,903,1369
"CROCCP3",41,6,21
"RP4-798A10.7",8,11,12
"RP4-798A10.4",1,0,0
"NBPF1",58,25,36
"CROCCP2",363,225,308
"MST1P2",27,2,11
"EIF1AXP1",5,3,12
"CROCC",102,65,118
"CROCCP4",1,0,2
"MST1L",30,5,13
"RP11-108M9.3",0,0,0
"RP11-108M9.4",472,140,258
"RP11-108M9.6",22,22,38
"MFAP2",1,0,1
"ATP13A2",168,101,169
"SDHB",819,597,929
"PADI2",0,0,0
"PADI4",50,5,17
"PADI6",0,0,0
"RCC2",103,167,259
"ARHGEF10L",0,4,7
"IGSF21",0,1,0
"RP11-174G17.3",0,0,0
"KLHDC7A",6,5,2
"ALDH4A1",5,4,13
"IFFO2",78,91,126
"RP5-1126H10.2",1,2,2
"UBR4",194,191,319
"RP1-43E13.2",23,17,14
"EMC1",116,93,142
"MRTO4",267,168,290
"AKR7L",2,0,0
"AKR7A3",2,3,5
"AKR7A2",682,476,681
"PQLC2",34,45,78
"CAPZB",5227,3496,5994
"RP5-1056L3.1",0,0,0
"MINOS1",3249,2046,3462
"RP5-1056L3.3",1118,306,557
"NBL1",57,272,384
"TMCO4",156,105,173
"OTUD3",91,36,74
"PLA2G2A",0,0,0
"PLA2G5",0,1,0
"PLA2G2D",0,0,0
"RP3-340N1.2",0,0,0
"PLA2G2C",2,3,1
"UBXN10-AS1",38,37,41
"UBXN10",3,9,2
"RP4-745E8.2",7,4,10
"CAMK2N1",25,92,100
"MUL1",140,88,194
"CDA",0,5,0
"PINK1",93,68,80
"PINK1-AS",18,14,15
"DDOST",1148,751,1261
"KIF17",0,0,1
"HP1BP3",2764,1666,2791
"EIF4G3",136,269,403
"RPS15AP6",4,8,12
"ECE1",271,178,209
"RP3-329E20.2",0,0,0
"RP5-1071N3.1",3,4,10
"NBPF2P",0,0,2
"NBPF3",39,12,26
"ALPL",0,0,1
"RAP1GAP",0,0,1
"USP48",698,661,1006
"LDLRAD2",0,0,0
"HSPG2",4,3,0
"RP11-26H16.1",10,7,13
"LINC00339",85,48,62
"CDC42",8414,5032,8440
"CDC42-IT1",109,41,66
"RP1-224A6.9",2,0,1
"WNT4",0,0,0
"ZBTB40",142,97,167
"C1QA",2,55,201
"C1QC",0,26,69
"C1QB",2,62,212
"EPHB2",0,0,4
"C1orf234",2,0,0
"KDM1A",187,117,164
"LUZP1",434,639,833
"LINC01355",64,28,38
"HNRNPR",2243,1704,2674
"ZNF436",13,7,19
"ZNF436-AS1",35,4,12
"RP5-1057J7.7",5,0,1
"TCEA3",387,15,27
"ASAP3",3,2,0
"E2F2",12,9,3
"RP1-150O5.3",5,3,4
"ID3",155,608,836
"MDS2",281,25,36
"RPL11",132326,38166,62257
"PITHD1",911,511,905
"LYPLA2",776,438,719
"GALE",74,68,91
"HMGCL",261,161,321
"FUCA1",114,75,187
"CNR2",21,4,10
"PNRC2",1720,1012,1807
"SRSF10",1806,1167,1910
"IFNLR1",16,18,38
"STPG1",64,40,68
"NIPAL3",672,340,462
"RCAN3",2480,1165,1633
"RP4-594I10.3",26,18,19
"NCMAP",0,0,0
"RP11-496D1.2",0,0,1
"SRRM1",4592,2796,4681
"CLIC4",2,14,12
"RUNX3",1025,1798,2908
"RP11-84D1.1",1,0,0
"RP11-84D1.2",2,2,1
"RP4-706G24.1",0,0,3
"SYF2",3406,2169,3331
"RSRP1",5026,3032,6381
"RP3-465N24.6",9,1,7
"RP3-465N24.5",1,2,3
"RHD",4,11,7
"SDHDP6",0,0,0
"TMEM50A",2358,2242,3585
"RHCE",4,1,3
"RP3-469D22.1",1,1,0
"TMEM57",323,253,397
"LDLRAP1",1659,318,624
"RP11-70P17.1",35,17,18
"MAN1C1",92,55,66
"RP1-187B23.1",262,77,170
"RP1-317E23.3",46,9,23
"MTFR1L",242,136,220
"AUNIP",0,0,3
"RP1-125I3.2",0,1,0
"PAQR7",31,9,18
"STMN1",623,478,1142
"PAFAH2",81,73,135
"EXTL1",1,0,1
"SLC30A2",1,0,0
"TRIM63",0,0,0
"PDIK1L",88,41,65
"FAM110D",1,1,1
"RP11-96L14.7",1,2,4
"ZNF593",197,212,328
"CNKSR1",17,1,7
"RP11-231P20.2",2,2,0
"CEP85",43,32,64
"RP11-231P20.5",0,0,0
"SH3BGRL3",16026,10716,19991
"UBXN11",277,123,240
"CD52",34817,14584,26844
"AIM1L",24,17,31
"ZNF683",70,229,729
"DHDDS",150,137,222
"RP3-476K8.4",39,2,22
"HMGN2",4911,3147,5378
"RPS6KA1",735,368,709
"RP5-968P14.2",3,0,1
"ARID1A",694,546,903
"PIGV",84,46,133
"RN7SL165P",2,0,0
"ZDHHC18",169,201,271
"SFN",1,0,1
"GPN2",144,138,204
"GPATCH3",124,63,148
"NUDC",1432,1072,1711
"NR0B2",0,1,1
"KDF1",51,1,5
"TRNP1",0,1,1
"FAM46B",0,0,0
"SLC9A1",48,71,121
"CHCHD3P3",6,1,2
"NPM1P39",194,102,198
"WDTC1",179,155,189
"TMEM222",369,209,379
"SYTL1",1927,660,1249
"MAP3K6",77,72,108
"FCN3",0,0,2
"GPR3",1,0,0
"WASF2",2334,1258,2148
"RP1-159A19.4",11,9,14
"AHDC1",50,73,92
"FGR",163,91,99
"RP1-159A19.3",24,26,37
"RP11-288L9.1",1,0,7
"IFI6",1069,1073,1921
"RP11-288L9.4",0,0,0
"FAM76A",376,160,328
"RP3-426I6.2",1,0,5
"STX12",279,234,354
"RP3-426I6.5",30,12,25
"RP3-426I6.6",4,1,2
"PPP1R8",419,248,485
"THEMIS2",236,97,188
"RPA2",1274,642,1126
"SMPDL3B",0,3,1
"XKR8",148,47,114
"EYA3",176,216,370
"RN7SL559P",24,15,18
"SPCS2P4",96,86,139
"PTAFR",9,3,8
"DNAJC8",2271,1627,2782
"ATPIF1",3527,2474,4249
"RP5-1092A3.4",85,14,50
"RP5-1092A3.5",4,0,4
"SESN2",56,162,307
"MED18",45,50,72
"PHACTR4",504,337,526
"RP1-308E4.1",11,11,13
"RCC1",154,68,106
"SNHG3",2252,652,1300
"RP4-669K10.8",4,3,3
"TRNAU1AP",382,305,462
"SNHG12",417,305,545
"TAF12",736,586,938
"RAB42",0,1,1
"RNU11.1",0,2,1
"GMEB1",302,254,364
"YTHDF2",1038,791,1280
"OPRD1",1,1,0
"EPB41",1688,724,1187
"Metazoa-SRP",10,3,5
"TMEM200B",0,2,3
"SRSF4",1598,1353,1937
"MECR",106,58,100
"PTPRU",0,0,1
"MATN1",0,2,1
"MATN1-AS1",90,19,60
"LAPTM5",11018,6111,10289
"SDC3",0,3,2
"RN7SL371P",0,0,0
"PUM1",560,533,811
"SNRNP40",439,334,636
"RP11-490K7.4",30,15,31
"ZCCHC17",539,413,771
"FABP3",0,0,2
"SERINC2",0,4,6
"LINC01225",0,0,0
"LINC01226",0,0,1
"TINAGL1",0,1,2
"PEF1",526,443,655
"RP11-73M7.9",4,3,5
"COL16A1",1,0,1
"SPOCD1",1,0,1
"RP11-84A19.2",13,6,8
"RP11-84A19.4",14,3,9
"PTP4A2",2817,1687,2624
"RP4-534N18.2",0,0,1
"KHDRBS1",2205,1540,2538
"RP11-277A4.4",7,3,8
"TMEM39B",138,68,118
