,Blood,TumorCore,TumorEdge
MAR03905,10.177419537989236,9.273795599214264,9.926295994781112
MAR03907,9.533329732305834,9.06339508128851,9.654636028527968
MAR04097,5.857980995127572,4.459431618637297,5.129283016944966
MAR04099,8.888743248898258,7.971543553950772,8.751544059089099
MAR04108,5.857980995127572,4.459431618637297,5.129283016944966
MAR04133,5.857980995127572,4.459431618637297,5.129283016944966
MAR04281,14.149191397099338,12.259449046285685,13.106072144372488
MAR04388,14.149191397099338,12.259449046285685,13.106072144372488
MAR04283,0.1,1.584962500721156,1.584962500721156
MAR08357,9.231221180711186,9.103287808412022,9.813781191217037
MAR04379,9.407267764244732,8.888743248898258,9.447083226209653
MAR04301,9.407267764244732,8.888743248898258,9.447083226209653
MAR04355,8.087462841250339,7.851749041416057,8.214319120800766
MAR04358,11.895953892812168,12.069785394983302,12.467096033905747
MAR04360,0.1,0.1,0.1
MAR04363,12.469387440964347,12.375039431346925,12.909330593006835
MAR04365,10.957827560833744,11.011227255423254,11.656424863277781
MAR04368,11.709945380232497,11.626165319904498,12.233020426474496
MAR04370,8.900866807980748,8.194756854422248,8.7714894695006
MAR04371,10.957827560833744,11.011227255423254,11.656424863277781
MAR04372,8.900866807980748,8.194756854422248,8.7714894695006
MAR04373,13.989837955736364,14.224755394000468,14.86524997211658
MAR04375,12.704119788513017,12.086799685623452,12.774992908933175
MAR04377,6.459431618637297,5.523561956057013,6.108524456778169
MAR04381,9.29232163280204,9.068778277985412,9.778077129535358
MAR04391,11.795633844506778,11.703038388986418,12.379649117760035
MAR04394,9.432541900388259,8.81698362325538,9.710806433699352
MAR04396,7.948367231584678,7.826548487290915,8.459431618637296
MAR04521,6.672425341971495,5.930737337562887,6.614709844115208
MAR06412,7.400879436282184,6.426264754702098,7.247927513443585
MAR07745,9.541096615349524,10.100662339005199,10.814582465906277
MAR07747,9.533329732305834,8.703903573444663,9.632995197142957
MAR08360,9.328674927327947,8.965784284662087,9.672425341971495
MAR08652,6.672425341971495,5.930737337562887,6.614709844115208
MAR08757,2.807354922057604,1.584962500721156,4.321928094887363
MAR03989,6.832890014164741,6.321928094887363,6.78135971352466
MAR04122,7.294620748891627,6.475733430966398,7.228818690495881
MAR04837,0.1,0.1,0.1
MAR05395,9.20945336562895,9.483815777264256,10.407267764244732
MAR05396,9.20945336562895,9.483815777264256,10.407267764244732
MAR09727,5.832890014164741,6.20945336562895,6.539158811108031
MAR05397,6.807354922057604,6.228818690495881,6.882643049361842
MAR05398,7.098032082960526,6.285402218862249,7.392317422778761
MAR05399,8.257387842692651,7.787902559391432,8.475733430966399
MAR05400,8.257387842692651,7.787902559391432,8.475733430966399
MAR05401,7.098032082960526,6.285402218862249,7.392317422778761
MAR08568,5.523561956057013,3.321928094887362,5.044394119358453
MAR08569,5.523561956057013,3.321928094887362,5.044394119358453
MAR08570,5.523561956057013,3.321928094887362,5.044394119358453
MAR08571,5.523561956057013,3.321928094887362,5.044394119358453
MAR08572,5.523561956057013,3.321928094887362,5.044394119358453
MAR08573,5.523561956057013,3.321928094887362,5.044394119358453
MAR08574,5.523561956057013,3.321928094887362,5.044394119358453
MAR08575,5.523561956057013,3.321928094887362,5.044394119358453
MAR08576,5.523561956057013,3.321928094887362,5.044394119358453
MAR08577,5.523561956057013,3.321928094887362,5.044394119358453
MAR08578,5.523561956057013,3.321928094887362,5.044394119358453
MAR08579,5.523561956057013,3.321928094887362,5.044394119358453
MAR08581,5.523561956057013,3.321928094887362,5.044394119358453
MAR08591,6.357552004618084,6.321928094887363,6.78135971352466
MAR08592,6.832890014164741,6.228818690495881,6.7414669864011465
MAR08580,5.523561956057013,3.321928094887362,5.044394119358453
MAR08582,5.523561956057013,3.321928094887362,5.044394119358453
MAR08587,6.357552004618084,6.321928094887363,6.78135971352466
MAR08589,6.832890014164741,6.228818690495881,6.7414669864011465
MAR08583,0.1,0.1,0.1
MAR08584,0.1,0.1,0.1
MAR08585,8.51175265376738,8.330916878114618,8.703903573444663
MAR03944,11.268542000300123,11.13699111208023,11.761551232444479
MAR04128,6.228818690495881,6.108524456778169,6.523561956057013
MAR04130,8.092757140919852,7.870364719583405,8.569855608330947
MAR04131,9.79766152585376,8.483815777264256,9.14210705730255
MAR04132,9.79766152585376,8.483815777264256,9.14210705730255
MAR04303,6.832890014164741,6.321928094887363,6.78135971352466
MAR04414,8.092757140919852,7.870364719583405,8.569855608330947
MAR04415,0.0,1.584962500721156,0.0
MAR04416,15.733041810408725,14.220075970984304,14.832988879680688
MAR04831,0.1,0.1,0.1
MAR04832,0.0,1.584962500721156,0.0
MAR07674,10.432541900388259,9.688250309133178,10.63117705570398
MAR08761,6.066089190457772,5.426264754702098,5.977279923499917
MAR08762,12.704119788513017,12.086799685623452,12.774992908933175
MAR08764,0.0,1.584962500721156,0.0
MAR08766,9.857980995127573,9.055282435501189,9.79766152585376
MAR08767,9.79766152585376,8.483815777264256,9.14210705730255
MAR00454,0.1,0.1,0.1
MAR04297,6.820178962415188,9.105908508571158,9.911391987843459
MAR04310,6.066089190457772,5.426264754702098,5.977279923499917
MAR04315,4.0,4.321928094887363,4.807354922057604
MAR04316,9.857980995127573,9.055282435501189,9.79766152585376
MAR04317,8.573647187493322,7.912889336229962,8.184875342908283
MAR04318,8.573647187493322,7.912889336229962,8.184875342908283
MAR04319,9.432541900388259,8.81698362325538,9.710806433699352
