rxn_id,flux_Blood,flux_TumorCore,name,subsystem,log2FC_abs_flux,abs_log2FC,mean_abs_flux
MAR04885,-16.000201542635264,0.0,,Transport reactions,-33.897371026747,33.897371026747,8.000100772317632
MAR03864,0.0,7.421337389333967,,Transport reactions,32.78903205060869,32.78903205060869,3.7106686956669837
MAR03827,0.0,-7.421337389333966,L-Aspartate:2-oxoglutarate aminotransferase,"Alanine, aspartate and glutamate metabolism",32.78903205060868,32.78903205060868,3.710668695666983
MAR03863,0.0,7.421337389333966,,Transport reactions,32.78903205060868,32.78903205060868,3.710668695666983
MAR04319,0.0,6.5062103721826725,ATP:D-fructose 6-phosphotransferase,Fructose and mannose metabolism,32.59917032552616,32.59917032552616,3.2531051870913363
MAR04470,0.0,6.136786255448777,"5,6-dihydrothymine:NAD+ oxidoreductase",Pyrimidine metabolism,32.514836189436345,32.514836189436345,3.0683931287243884
MAR03007,0.0,-6.135786255448776,,Transport reactions,32.51460108061257,32.51460108061257,3.0678931287243882
MAR09047,0.0,6.135786255448776,Exchange of H2O,Exchange/demand reactions,32.51460108061257,32.51460108061257,3.0678931287243882
MAR06355,0.0,6.135786255448776,,Transport reactions,32.51460108061257,32.51460108061257,3.0678931287243882
MAR10802,0.0,-6.135786255448776,"Transport of GlnTyrLeu, Extracellular",Transport reactions,32.51460108061257,32.51460108061257,3.0678931287243882
MAR01534,0.0,6.135786255448776,Transport of Ammonium ion via Proton Antiport,Transport reactions,32.51460108061257,32.51460108061257,3.0678931287243882
MAR10560,0.0,6.135786255448776,Exchange of Glutaminyl-Tyrosyl-Leucine,Exchange/demand reactions,32.51460108061257,32.51460108061257,3.0678931287243882
MAR11044,0.0,-6.135786255448776,Metabolism (Formation/Degradation) of GlnTyrLeu,Peptide metabolism,32.51460108061257,32.51460108061257,3.0678931287243882
MAR05993,0.0,6.135786255448776,,Transport reactions,32.51460108061257,32.51460108061257,3.0678931287243882
MAR09286,0.0,-6.135786255448776,Exchange of citrate,Exchange/demand reactions,32.51460108061257,32.51460108061257,3.0678931287243882
MAR04198,0.0,6.135786255448732,L-Serine:pyruvate aminotransferase,"Glycine, serine and threonine metabolism",32.514601080612564,32.514601080612564,3.067893128724366
MAR11350,0.0,6.133896490760179,Exchange of cis-aconitate,Exchange/demand reactions,32.514156675614956,32.514156675614956,3.0669482463800897
MAR09928,0.0,6.133896490760179,"Transport of Cis-Aconitate, Extracellular",Transport reactions,32.514156675614956,32.514156675614956,3.0669482463800897
MAR02405,0.0,-6.133896490760179,Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,Transport reactions,32.514156675614956,32.514156675614956,3.0669482463800897
MAR12944,0.0,-6.125734425372544,DEOXFVSitx,Drug metabolism,32.51223567602262,32.51223567602262,3.062867213686272
MAR12948,0.0,6.125734425372544,FVSitx,Drug metabolism,32.51223567602262,32.51223567602262,3.062867213686272
MAR12726,0.0,-6.125734425372544,efflux of fluvastatin from enterocytes into portal blood,Drug metabolism,32.51223567602262,32.51223567602262,3.062867213686272
