subsystem,Blood,TumorCore,TumorEdge
 Arachidonic acid metabolism,0.0,0.0,0.0
Acyl-CoA hydrolysis,0.0,0.008114141614474284,0.0008350360989497187
Acylglycerides metabolism,0.0009567873340778811,0.017369556904621455,0.0014332475617817508
"Alanine, aspartate and glutamate metabolism",0.05204432788355308,0.4293804130486336,0.13761199387167813
Alkaloids biosynthesis,0.0,0.0,0.0
Amino sugar and nucleotide sugar metabolism,0.36599415387941575,0.33640547552688593,0.47122079827827035
Aminoacyl-tRNA biosynthesis,0.2633676040530216,0.29220951590830097,0.28125675896761054
Androgen metabolism,6.133396582336945e-05,6.590821145587335e-07,9.687109434746383e-40
Arachidonic acid metabolism,0.02019141215346669,0.0001225453140961441,1.2035085968221302e-05
Arginine and proline metabolism,0.035669715488295145,0.2517313026918877,0.010210581828671073
Artificial reactions,0.40545361857809,0.44982354318634304,0.4329630110458831
Ascorbate and aldarate metabolism,0.0,0.0,0.0
Beta oxidation of branched-chain fatty acids (mitochondrial),0.0,0.033866581648237054,0.0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),0.0,0.0,7.97674594016111e-06
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),0.0,0.0,0.0
Beta oxidation of even-chain fatty acids (mitochondrial),0.012845565276073244,9.9877035685667e-06,0.0
Beta oxidation of even-chain fatty acids (peroxisomal),0.00015084871968617998,0.0,0.0
Beta oxidation of odd-chain fatty acids (mitochondrial),2.6187985879849285e-06,1.1921485919178055e-20,3.401626303877895e-05
Beta oxidation of odd-chain fatty acids (peroxisomal),0.0,0.0010051830076231,0.0
Beta oxidation of phytanic acid (peroxisomal),0.0,0.0,0.0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),0.0,0.0,0.0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),4.32545695494465e-08,0.0,0.0009869440673004883
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),0.0,0.0,0.0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),0.0038862048551878666,0.007273102661420591,0.0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),0.0,0.0,0.0
Beta-alanine metabolism,0.06088162925918857,0.0,1.71779983298875e-05
Bile acid biosynthesis,0.00012405585939831486,0.011997141110861372,0.012450484513046312
Bile acid recycling,6.060606060605757e-05,5.76770432136731e-37,0.0
Biopterin metabolism,0.0,0.0,0.0
Biotin metabolism,0.0,0.0,0.0
Blood group biosynthesis,0.0,0.0,0.0
Butanoate metabolism,0.005105135574691578,0.45287063872659733,0.01218909661715039
C5-branched dibasic acid metabolism,0.0,0.0,0.05573387433606261
Carnitine shuttle (cytosolic),0.002338815881961691,0.008630679625096675,0.0008420622537153053
Carnitine shuttle (endoplasmic reticular),0.0006085333127033788,0.0022178618936291405,0.00027863172449031447
Carnitine shuttle (mitochondrial),0.002051165535524192,0.00800556112488798,6.732886331610268e-05
Carnitine shuttle (peroxisomal),0.0018057176624919375,0.001090783294515175,0.0
Cholesterol biosynthesis 1 (Bloch pathway),0.0,0.0,0.0
Cholesterol biosynthesis 2,1.3825416671116526,1.5339465638622038,0.9854510424510835
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),0.0,0.0,0.0
Cholesterol metabolism,0.0018434226445862153,0.10329722157022748,0.0005080932613049218
Chondroitin / heparan sulfate biosynthesis,0.0,0.0,0.0
Chondroitin sulfate degradation,0.0,0.0,0.0
Cysteine and methionine metabolism,0.06362301539602347,1.2082894428304582e-06,0.0
Dietary fiber binding,0.0,0.0,0.0
Drug metabolism,0.004874253558859202,0.0677935779589303,1.3775506927378495e-05
Eicosanoid metabolism,0.09167137640823272,0.10226310425747959,0.05320222038926743
Estrogen metabolism,1.5145057006418183e-05,0.0,0.0
Ether lipid metabolism,0.0,0.0,0.0
Exchange/demand reactions,0.11860602064868211,0.18878897008334883,0.11801308704017305
Fatty acid activation (cytosolic),0.0019843404668264644,0.0,9.657302175974627e-06
Fatty acid activation (endoplasmic reticular),4.211545237043689e-06,8.385952515556361e-19,0.0
Fatty acid biosynthesis,0.0002981933973499587,7.59065471211067e-06,0.0004659253774574587
Fatty acid biosynthesis (even-chain),0.0009779930673818312,0.0005384439829613125,0.0
Fatty acid biosynthesis (odd-chain),1.3551451830707864e-21,0.0,0.0038951560161056896
Fatty acid biosynthesis (unsaturated),9.08578147345133e-06,5.639027312575025e-21,0.00020882116774155002
Fatty acid degradation,0.0,0.0,0.0
Fatty acid desaturation (even-chain),1.9386360843998487e-06,0.025602894669628066,0.000995099235224025
Fatty acid desaturation (odd-chain),6.219646646464209e-06,0.0,0.0
Fatty acid elongation (even-chain),0.0,0.00022771964136332007,7.334462500828431e-06
