rxn_id,name,subsystem,baseline_flux,baseline_biomass,ko_status,ko_biomass,rel_biomass,drop_in_biomass,essential
MAR04269,ATP:NAD+ 2'-phosphotransferase,Nicotinate and nicotinamide metabolism,0.00030057168159541186,1.0360967997089667,optimal,-2.6601189711258935e-12,-2.567442512970897e-12,1.0000000000025675,True
MAR06682,,Retinol metabolism,4.2894407507951225e-05,1.0360967997089667,optimal,-9.628298579852434e-14,-9.292856210497865e-14,1.000000000000093,True
MAR06438,,Transport reactions,-4.289440750795121e-05,1.0360967997089667,optimal,-5.2442371611072626e-14,-5.061532052391569e-14,1.0000000000000506,True
MAR06453,,Vitamin E metabolism,4.289440750795121e-05,1.0360967997089667,optimal,-1.638768604682627e-14,-1.5816751920698404e-14,1.0000000000000158,True
MAR06629,,Transport reactions,2.1385037945993074e-05,1.0360967997089667,optimal,-1.0194618661595858e-14,-9.839446144857762e-15,1.0000000000000098,True
MAR06664,,Retinol metabolism,2.138503794599307e-05,1.0360967997089667,optimal,-5.95767090552047e-15,-5.7501103248209465e-15,1.0000000000000058,True
MAR00598,"1,2-diacyl-sn-glycerol 3-phosphate phosphohydrolase",Glycerophospholipid metabolism,4.289440750795122e-05,1.0360967997089667,optimal,-3.2383212251909843e-15,-3.1255006540900512e-15,1.000000000000003,True
MAR07861,,Transport reactions,0.008299135365668413,1.0360967997089667,optimal,-1.980887445924237e-15,-1.9118748812665536e-15,1.000000000000002,True
MAR06634,,Retinol metabolism,4.289440750795123e-05,1.0360967997089667,optimal,-1.3614558674268328e-15,-1.3140238130348993e-15,1.0000000000000013,True
MAR09167,Exchange of lipoic acid,Exchange/demand reactions,-4.289440750795122e-05,1.0360967997089667,optimal,-1.2731231063646768e-15,-1.228768496073233e-15,1.0000000000000013,True
MAR05130,L-Tyrosine:tRNA(Tyr) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.15539768338334975,1.0360967997089667,optimal,-3.034655798867721e-16,-2.928930771449287e-16,1.0000000000000002,True
MAR06677,,Retinol metabolism,2.138503794599307e-05,1.0360967997089667,optimal,-3.3059707964527826e-16,-3.190793367358542e-16,1.0000000000000002,True
MAR07786,,Transport reactions,0.020962310451711815,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR05131,L-Alanine:tRNA(Ala) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.4429663501425734,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR05132,L-Arginine:tRNA(Arg) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.28314453342446655,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06642,,Retinol metabolism,2.138503794599307e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR07792,,Transport reactions,0.03959547529767787,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR05423,,Transport reactions,0.03493718408618636,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06693,,Retinol metabolism,4.289440750795122e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06665,,Retinol metabolism,2.1385037945993074e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06668,,Retinol metabolism,2.138503794599307e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06669,,Retinol metabolism,2.138503794599307e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR04204,ATP:thiamine diphosphotransferase,Thiamine metabolism,4.289440750795123e-05,1.0360967997089667,optimal,1.8221187640301475e-17,1.7586375756994612e-17,1.0,True
MAR08613,,Vitamin B12 metabolism,2.1447203753975612e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06687,,Retinol metabolism,4.289440750795123e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06690,,Retinol metabolism,-4.289440750795121e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06691,,Retinol metabolism,-4.2894407507951225e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06692,,Retinol metabolism,4.2894407507951225e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06701,,Retinol metabolism,2.138503794599307e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06702,,Retinol metabolism,2.1385037945993064e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06703,,Retinol metabolism,2.1385037945993067e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR06700,,Retinol metabolism,2.1385037945993067e-05,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR05149,L-Tryptophan -tRNA(Trp) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.05419563335077678,1.0360967997089667,optimal,0.0,0.0,1.0,True
MAR05148,L-Threonine:tRNA(Thr) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.29586391676189366,1.0360967997089667,optimal,0.0,0.0,1.0,True
