rxn_id,name,subsystem,essential_Blood,drop_Blood,essential_TumorCore,drop_TumorCore,essential_TumorEdge,drop_TumorEdge
MAR03905,ethanol:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,,,,,,
MAR03907,Ethanol:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,,,,,,
MAR04097,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,,,,,,
MAR04099,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,,,,,,
MAR04108,acetyl adenylate:CoA acetyltransferase,Glycolysis / Gluconeogenesis,,,,,,
MAR04133,ATP:acetate adenylyltransferase,Glycolysis / Gluconeogenesis,,,,,,
MAR04281,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,-4.440892098500626e-16,False,-2.220446049250313e-16
MAR04388,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,,,,,,
MAR04283,Acetaldehyde:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,,,,,,
MAR08357,Acetaldehyde:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,,,,,,
MAR04379,ATP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,0.0,,
MAR04301,UTP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,,,,,False,-2.220446049250313e-16
MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",Glycolysis / Gluconeogenesis,,,,,,
MAR04358,ATP:pyruvate 2-O-phosphotransferase,Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,0.0,False,-4.440892098500626e-16
MAR04360,2-Oxopropanal:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,,,,,,
MAR04363,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,0.0,False,0.0
MAR04365,"D-phosphoglycerate 2,3-phosphomutase",Glycolysis / Gluconeogenesis,False,-4.440892098500626e-16,False,0.0,False,-2.220446049250313e-16
MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,-4.440892098500626e-16,False,0.0
MAR04370,3-Phospho-D-glyceroyl phosphate phosphohydrolase,Glycolysis / Gluconeogenesis,,,,,,
MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",Glycolysis / Gluconeogenesis,True,1.0,True,1.0000000000000013,True,0.9999999999999997
MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase",Glycolysis / Gluconeogenesis,,,,,,
MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,-2.220446049250313e-16,False,-2.220446049250313e-16
MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",Glycolysis / Gluconeogenesis,,,,,,
MAR04381,D-glucose-6-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,,,,
MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04394,ATP:D-glucose 6-phosphotransferase,Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,0.0,,
