reaction,flux_rich,flux_TME,delta_flux,log2FC_TME_vs_rich,subsystem
MAR03905,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR03907,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04097,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04099,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04108,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04133,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04281,0.1096804214747694,0.1096804214747706,1.1934897514720433e-15,1.5696789868693013e-14,Glycolysis / Gluconeogenesis
MAR04388,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04283,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08357,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04379,2.9441678933730366,3.932267436459041,0.9880995430860042,0.4175014991613701,Glycolysis / Gluconeogenesis
MAR04301,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04355,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04358,18.068328997828345,18.10502979203285,0.036700794204502785,0.0029274622944460405,Glycolysis / Gluconeogenesis
MAR04360,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04363,23.604028423185397,23.640729217389904,0.03670079420450634,0.00224143659902585,Glycolysis / Gluconeogenesis
MAR04365,-23.604028423185397,-24.439304960254404,-0.8352765370690065,0.05017015562598142,Glycolysis / Gluconeogenesis
MAR04368,23.60513051935125,24.440407056420256,0.8352765370690065,0.0501678534983241,Glycolysis / Gluconeogenesis
MAR04370,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04371,0.0007013339237229,0.0007013339237229,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04372,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04373,-23.605831853274967,-24.441108390343977,-0.8352765370690101,0.05016638861800645,Glycolysis / Gluconeogenesis
MAR04375,-8.469926177156246,-9.45802572024225,-0.9880995430860047,0.1591896698032233,Glycolysis / Gluconeogenesis
MAR04377,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04381,-0.5792746142363553,-1.288426970602856,-0.7091523563665006,1.1532914169160535,Glycolysis / Gluconeogenesis
MAR04391,13.441891544934595,14.983483432343856,1.5415918874092611,0.1566368988083282,Glycolysis / Gluconeogenesis
MAR04394,0.5912984627045691,1.3004508190710709,0.7091523563665018,1.1370534071991305,Glycolysis / Gluconeogenesis
MAR04396,-0.0044083846634017,-0.0044083846634017,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04521,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR06412,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR07745,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR07747,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08360,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08652,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08757,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR03989,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR04122,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
