reaction,flux_rich,flux_TME,delta_flux,log2FC_TME_vs_rich,subsystem
MAR03905,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR03907,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04097,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04099,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04108,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04133,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04281,6.135786255448776,6.135786255448776,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04388,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04283,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08357,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04379,6.505876884296451,1.970444012936988,-4.535432871359463,-1.7232227627501,Glycolysis / Gluconeogenesis
MAR04301,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04355,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04358,21.53992525575191,16.974712035236443,-4.565213220515467,-0.3436261433632684,Glycolysis / Gluconeogenesis
MAR04360,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04363,27.79173324582191,23.125844941085266,-4.665888304736644,-0.26514973390928787,Glycolysis / Gluconeogenesis
MAR04365,-27.791733245821906,-23.35208039113641,4.4396528546854945,-0.2511047292191021,Glycolysis / Gluconeogenesis
MAR04368,27.79295603473805,23.353303180052563,-4.439652854685487,-0.2510926618412459,Glycolysis / Gluconeogenesis
MAR04370,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04371,0.0007781384011828,0.0007781384011828,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04372,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04373,-27.79373417313924,-23.354081318453748,4.439652854685491,-0.25108498320618483,Glycolysis / Gluconeogenesis
MAR04375,-12.63677198408065,-8.101339112721186,4.535432871359463,-0.6413956760545525,Glycolysis / Gluconeogenesis
MAR04377,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04381,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04391,15.15679481669046,9.117400600798742,-6.039394215891718,-0.7332702299792677,Glycolysis / Gluconeogenesis
MAR04394,0.0675215145937656,0.0,-0.0675215145937656,-26.008843951477456,Glycolysis / Gluconeogenesis
MAR04396,-0.0048911556645776,-0.0048911556645776,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04521,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR06412,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR07745,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR07747,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08360,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08652,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08757,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR03989,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR04122,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR04837,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
