reaction,flux_rich,flux_TME,delta_flux,log2FC_TME_vs_rich,subsystem
MAR03905,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR03907,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04097,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04099,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04108,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04133,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04281,0.0012167513542277,0.0,-0.0012167513542277,-20.214604135335158,Glycolysis / Gluconeogenesis
MAR04388,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04283,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08357,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04379,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04301,0.1083086311921224,0.0,-0.1083086311921224,-26.690572989344098,Glycolysis / Gluconeogenesis
MAR04355,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04358,17.911314402061787,20.40098267430551,2.4896682722437227,0.1877674337854462,Glycolysis / Gluconeogenesis
MAR04360,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04363,17.917222969603277,20.406891241847,2.4896682722437227,0.18770937269583615,Glycolysis / Gluconeogenesis
MAR04365,-17.917222969603277,-20.406891241847,-2.4896682722437227,0.18770937269583615,Glycolysis / Gluconeogenesis
MAR04368,17.918399925276287,20.40806819752001,2.4896682722437227,0.18769781152563078,Glycolysis / Gluconeogenesis
MAR04370,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04371,0.0007489717919165,0.0007489717919165,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04372,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04373,-17.919148897068204,-20.408817169311927,-2.4896682722437227,0.18769045515982025,Glycolysis / Gluconeogenesis
MAR04375,-6.00940216668408,-5.901093535491957,0.10830863119212264,-0.02623914844182672,Glycolysis / Gluconeogenesis
MAR04377,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04381,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04391,11.91017471426522,13.154994275147333,1.244819560882112,0.14341604392890492,Glycolysis / Gluconeogenesis
MAR04394,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04396,-0.004707822692047,-0.004707822692047,0.0,0.0,Glycolysis / Gluconeogenesis
MAR04521,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR06412,1.904787802530546,0.0,-1.904787802530546,-30.826983142074674,Glycolysis / Gluconeogenesis
MAR07745,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR07747,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08360,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08652,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR08757,0.0,0.0,0.0,0.0,Glycolysis / Gluconeogenesis
MAR03989,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR04122,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR04837,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
