subsystem,mean_abs_flux_rich,mean_abs_flux_TME,delta_mean_abs_flux,log2FC_TME_vs_rich
Beta oxidation of branched-chain fatty acids (mitochondrial),0.033866581648237054,0.0,-0.033866581648237054,-25.0133590813602
Porphyrin metabolism,0.01597723100626884,0.0,-0.01597723100626884,-23.929514152782357
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),0.007273102661420591,0.0,-0.007273102661420591,-22.794139708081165
Inositol phosphate metabolism,0.0,0.0004500679466267667,0.0004500679466267667,18.779786501073005
Fatty acid biosynthesis (odd-chain),0.0,1.878382653536196e-05,1.878382653536196e-05,14.197280173318404
Fatty acid biosynthesis (unsaturated),5.639027312575025e-21,1.2969784988702388e-05,1.2969784988702383e-05,13.662978173320449
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.898234924159358e-06,0.04578203682643754,0.04577813859151338,13.519302982394557
Beta oxidation of even-chain fatty acids (mitochondrial),9.9877035685667e-06,0.0,-9.9877035685667e-06,-13.2860817277878
Fatty acid desaturation (even-chain),0.025602894669628066,6.48489249435118e-06,-0.025596409777133716,-11.946714255923537
Xenobiotics metabolism,0.0,1.682431065399367e-06,1.682431065399367e-06,10.717188930304827
Androgen metabolism,6.590821145587335e-07,0.0,-6.590821145587335e-07,-9.366501697424196
Amino sugar and nucleotide sugar metabolism,0.33640547552688593,0.0022957746994306054,-0.33410970082745534,-7.1950756864427206
Fatty acid biosynthesis,7.59065471211067e-06,0.00018084522130472152,0.00017325456659261085,4.574205267272881
Acylglycerides metabolism,0.017369556904621455,0.0013572318141273122,-0.016012325090494144,-3.677820913530782
Arachidonic acid metabolism,0.0001225453140961441,1.470588235294044e-05,-0.00010783943174320367,-3.0587637384316153
Nucleotide metabolism,0.05162714751465267,0.006319576719328267,-0.04530757079532441,-3.0302298525851703
Folate metabolism,0.0007321541318838462,0.004709994760255689,0.003977840628371842,2.685504491322681
Carnitine shuttle (mitochondrial),0.00800556112488798,0.0012591455260135902,-0.00674641559887439,-2.668556529461537
Formation and hydrolysis of cholesterol esters,0.0005020734497684115,0.00014216931464563093,-0.0003599041351227806,-1.8202810493694253
Starch and sucrose metabolism,0.12974470829164023,0.03889692435835281,-0.09084778393328741,-1.7379476840684407
Fructose and mannose metabolism,0.28287871183402924,0.08568597829666126,-0.197192733537368,-1.7230525531026537
Omega-6 fatty acid metabolism,0.0008791634153038086,0.0002751783755712151,-0.0006039850397325935,-1.6757606480494982
Fatty acid oxidation,0.005926530459541132,0.002247118178070876,-0.003679412281470256,-1.3991113640204214
Carnitine shuttle (endoplasmic reticular),0.0022178618936291405,0.0008424720349351908,-0.0013753898586939496,-1.3964677663394138
Cholesterol biosynthesis 2,1.5339465638622038,0.5934525535047643,-0.9404940103574395,-1.370043628690253
Pool reactions,0.09078370827532316,0.040005249190048026,-0.05077845908527513,-1.182244087510272
Tryptophan metabolism,0.0022392205383186003,0.0009926422598595058,-0.0012465782784590945,-1.1736500344431677
Terpenoid backbone biosynthesis,0.0021148193973009,0.0009374954676450889,-0.0011773239296558112,-1.1736499868488728
Purine metabolism,0.15405380111611813,0.07261030372148947,-0.08144349739462867,-1.0851880766677056
