subsystem,mean_abs_flux_rich,mean_abs_flux_TME,delta_mean_abs_flux,log2FC_TME_vs_rich
Fructose and mannose metabolism,0.0,0.3156069000320754,0.3156069000320754,28.233553510635005
Starch and sucrose metabolism,0.0,0.07770791260768427,0.07770791260768427,26.21155819130275
C5-branched dibasic acid metabolism,0.05573387433606261,0.0,-0.05573387433606261,-25.73205113583567
"Valine, leucine, and isoleucine metabolism",0.0,0.044683895770894495,0.044683895770894495,25.413251669345744
Glycosphingolipid metabolism,0.008635591905053008,0.0,-0.008635591905053008,-23.04186380345527
Fatty acid biosynthesis (odd-chain),0.0038951560161056896,0.0,-0.0038951560161056896,-21.893250054682042
Cysteine and methionine metabolism,0.0,0.00117764842152665,0.00117764842152665,20.1674786915988
Vitamin A metabolism,0.0,0.00049930326570511,0.00049930326570511,18.929559706531055
Formation and hydrolysis of cholesterol esters,1.009093379948959e-17,0.0004464991610817067,0.00044649916108169664,18.768301155699387
Fatty acid elongation (odd-chain),0.0003431877267720334,0.0,-0.0003431877267720334,-18.388642637713662
Fatty acid biosynthesis,0.0004659253774574587,5.622893310307254e-09,-0.0004659197545641484,-16.102280864672586
Omega-6 fatty acid metabolism,8.573540243950895e-05,4.974621572500701e-10,-8.57349049773517e-05,-15.805100716704622
Fatty acid desaturation (even-chain),0.000995099235224025,1.6863530760622303e-08,-0.0009950823716932645,-15.765536973378902
Thiamine metabolism,0.27211908721801326,6.54399936376897e-06,-0.27211254321864947,-15.343485582740598
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),0.0009869440673004883,5.169362520707347e-08,-0.0009868923736752813,-14.19305372961476
Beta-alanine metabolism,1.71779983298875e-05,0.0,-1.71779983298875e-05,-14.068358298061126
Fatty acid biosynthesis (unsaturated),0.00020882116774155002,2.312835389503374e-08,-0.00020879803938765498,-13.079257756279027
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),7.97674594016111e-06,0.0,-7.97674594016111e-06,-12.961765464654489
Porphyrin metabolism,6.543999363768958e-06,0.04229036903258634,0.04228382503322257,12.657648511346942
Pyruvate metabolism,0.07961884426800929,2.9620440697452178e-05,-0.07958922382731183,-11.392252421812035
Estrogen metabolism,0.0,1.7321336919378787e-06,1.7321336919378787e-06,10.759167231287377
Fatty acid activation (cytosolic),9.657302175974627e-06,6.527405169864633e-09,-9.650774770804762e-06,-10.325401257967414
Carnitine shuttle (cytosolic),0.0008420622537153053,7.154876688229431e-07,-0.0008413467660464823,-10.1987710186533
Pool reactions,0.012087531378513663,1.8501790646123487e-05,-0.01206902958786754,-9.351561160148467
Beta oxidation of odd-chain fatty acids (mitochondrial),3.401626303877895e-05,5.2810607116905746e-08,-3.396345243166205e-05,-9.304160769906373
Galactose metabolism,0.00022418203295461906,0.1290963098952147,0.12887212786226007,9.16955496540615
Glyoxylate and dicarboxylate metabolism,0.0021445009028191,6.123621455879385e-06,-0.002138377281363221,-8.451806202438576
Fatty acid elongation (even-chain),7.334462500828431e-06,2.8698039118913323e-08,-7.305764461709517e-06,-7.948376443522593
Phenylalanine metabolism,1.0519991289297608,0.0045406701016834665,-1.0474584588280773,-7.8560122555102225
Beta oxidation of odd-chain fatty acids (peroxisomal),0.0,1.757583257040498e-07,1.757583257040498e-07,7.465634360504207
Arachidonic acid metabolism,1.2035085968221302e-05,0.000801415206250667,0.0007893801202824457,6.057113462824811
Beta oxidation of even-chain fatty acids (mitochondrial),0.0,5.146007927443157e-08,5.146007927443157e-08,5.713148082603544
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),0.0,4.998985581662854e-08,4.998985581662854e-08,5.672138353369052
Isolated,0.0008593618608617171,0.03737848960875952,0.036519127747897805,5.442797072746097
Omega-3 fatty acid metabolism,2.9343536649204767e-05,1.1032212051027695e-06,-2.8240315444101996e-05,-4.731990811448044
Carnitine shuttle (mitochondrial),6.732886331610268e-05,0.0016474498380146983,0.0015801209746985957,4.612845067763909
Carnitine shuttle (peroxisomal),0.0,2.1197415242827592e-08,2.1197415242827592e-08,4.472319787973689
Beta oxidation of even-chain fatty acids (peroxisomal),0.0,2.096741901173629e-08,2.096741901173629e-08,4.457293469987432
Sphingolipid metabolism,0.011009142306074747,0.0008132597617102481,-0.010195882544364498,-3.7588403891692863
Fatty acid oxidation,0.00012957208654496344,0.0009913298698131742,0.0008617577832682107,2.935600567318513
Butanoate metabolism,0.01218909661715039,0.0015937372663642553,-0.010595359350786135,-2.935104698844117
"Glycine, serine and threonine metabolism",0.030893514699177286,0.22520628367734846,0.19431276897817118,2.8658711233665435
Retinol metabolism,3.2817102967553654e-05,0.00023049171268937503,0.00019767460972182138,2.8121573866186624
Steroid metabolism,2.4823488449835626e-07,1.490852533062487e-06,1.2426176485641308e-06,2.5815270184591164
Leukotriene metabolism,9.266039566583407e-23,4.116811655487056e-09,4.116811655486964e-09,2.355245130221834
"Alanine, aspartate and glutamate metabolism",0.13761199387167813,0.027666208565134347,-0.10994578530654378,-2.314409322399196
Carnitine shuttle (endoplasmic reticular),0.00027863172449031447,0.001220498205256667,0.0009418664807663525,2.1310347429352303
Propanoate metabolism,0.000228990753682764,0.0009362921791458,0.000707301425463036,2.031664702280508
Heparan sulfate degradation,0.0013134422162032098,0.00530960970788455,0.003996167491681341,2.0152522587196535
Vitamin D metabolism,3.7371414125623095e-05,9.403721506878922e-06,-2.7967692618744173e-05,-1.9905166313898812
Drug metabolism,1.3775506927378495e-05,5.415526947109318e-05,4.037976254371468e-05,1.9749182280057793
Folate metabolism,0.3275011375935287,0.08610869285951447,-0.24139244473401425,-1.9272691123078691
Cholesterol metabolism,0.0005080932613049218,0.0018088466868745599,0.001300753425569638,1.8319028568989135
Miscellaneous,0.21721117942959856,0.07633248879973581,-0.14087869062986275,-1.5087292095712987
Oxidative phosphorylation,1.656145745614816,0.5958855392978087,-1.0602602063170075,-1.4747224959432623
Purine metabolism,0.15692929714517304,0.05671736708070836,-0.10021193006446467,-1.468252231259695
Fatty acid desaturation (odd-chain),0.0,1.5447509093699897e-09,1.5447509093699897e-09,1.3475244463190545
Lysine metabolism,0.0004761904761904715,0.00019047619047619932,-0.0002857142857142722,-1.3219235504146032
Glycerophospholipid metabolism,0.0019445470244328876,0.004799028796009452,0.0028544817715765647,1.3033079050248904
Arginine and proline metabolism,0.010210581828671073,0.023283196140566773,0.0130726143118957,1.1892239572212022
Peptide metabolism,0.035107224363718034,0.07465959938855629,0.03955237502483826,1.0885598067932438
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.2410441600349722,0.11925148660936849,-0.12179267342560371,-1.0152902195206037
Nucleotide metabolism,0.23127190943366854,0.12031941434326267,-0.11095249509040588,-0.9427205895717224
Pyrimidine metabolism,0.5935040050148972,0.33734257861220013,-0.25616142640269707,-0.8150433399495374
Bile acid biosynthesis,0.012450484513046312,0.02175508008203124,0.009304595568984927,0.8051503918480372
Prostaglandin biosynthesis,0.08979080765952782,0.05250010650879998,-0.03729070115072784,-0.7742473954761291
Eicosanoid metabolism,0.05320222038926743,0.031219570692145173,-0.02198264969712226,-0.7690357400156203
Acyl-CoA hydrolysis,0.0008350360989497187,0.0005252409718101247,-0.00030979512713959396,-0.6688580890899034
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.037750324612928286,0.055659704154062184,0.017909379541133898,0.5601441779452654
Pentose phosphate pathway,0.45444495157931636,0.6597377880544804,0.205292836475164,0.5377871935112558
Pentose and glucuronate interconversions,6.02973238116375e-05,8.612463246389375e-05,2.5827308652256248e-05,0.5143247740182852
Amino sugar and nucleotide sugar metabolism,0.47122079827827035,0.3900875021917778,-0.08113329608649256,-0.2726054388303369
Exchange/demand reactions,0.11801308704017305,0.1330756091362771,0.015062522096104064,0.1732993127764479
Transport reactions,0.08140378061383836,0.07266510905722277,-0.00873867155661559,-0.16383299193319287
Cholesterol biosynthesis 2,0.9854510424510835,1.0710186291914077,0.08556758674032416,0.12012746971067535
Glycolysis / Gluconeogenesis,2.532441905151217,2.752118071135334,0.21967616598411688,0.12001319208012931
Inositol phosphate metabolism,8.343012143411075e-05,8.787352937428387e-05,4.443407940173122e-06,0.07485942019838503
Acylglycerides metabolism,0.0014332475617817508,0.001432009081055046,-1.2384807267047312e-06,-0.0012471824268949663
ROS detoxification,0.44291125126065517,0.44295656418802143,4.5312927366258915e-05,0.00014759027107404672
Glycerolipid metabolism,0.07770791260768427,0.07770825481946375,3.422117794832369e-07,6.353357427581077e-06
