reaction_id,reaction_name,subsystem,baseline_flux_rich,baseline_biomass_rich,ko_status,biomass_KO_rich,rel_biomass,drop_in_biomass,essential,is_essential_rich,biomass_KO_TME,is_essential_TME,baseline_biomass_TME,baseline_flux_TME,essentiality_class
MAR04269,ATP:NAD+ 2'-phosphotransferase,Nicotinate and nicotinamide metabolism,0.0003005716815954,1.0360967997089667,optimal,-2.660118971125893e-12,-2.567442512970897e-12,1.0000000000025675,True,True,3.29624650741619e-13,True,1.036096799708967,0.0003005716815953,essential_in_both
MAR06682,,Retinol metabolism,4.2894407507951225e-05,1.0360967997089667,optimal,-9.628298579852434e-14,-9.292856210497865e-14,1.000000000000093,True,True,-1.4981396810304032e-17,True,1.036096799708967,4.2894407507951225e-05,essential_in_both
MAR06438,,Transport reactions,-4.289440750795121e-05,1.0360967997089667,optimal,-5.244237161107263e-14,-5.06153205239157e-14,1.0000000000000506,True,True,2.055927082658371e-16,True,1.036096799708967,-4.289440750795122e-05,essential_in_both
MAR06453,,Vitamin E metabolism,4.289440750795121e-05,1.0360967997089667,optimal,-1.6387686046826272e-14,-1.5816751920698404e-14,1.0000000000000158,True,True,-2.7051672140241747e-18,True,1.036096799708967,4.289440750795122e-05,essential_in_both
MAR06629,,Transport reactions,2.1385037945993078e-05,1.0360967997089667,optimal,-1.0194618661595858e-14,-9.839446144857762e-15,1.0000000000000098,True,True,5.418776506425921e-17,True,1.036096799708967,2.138503794599308e-05,essential_in_both
MAR06664,,Retinol metabolism,2.138503794599307e-05,1.0360967997089667,optimal,-5.95767090552047e-15,-5.7501103248209465e-15,1.0000000000000058,True,True,3.1522899318278882e-18,True,1.036096799708967,2.1385037945993078e-05,essential_in_both
MAR00598,"1,2-diacyl-sn-glycerol 3-phosphate phosphohydrolase",Glycerophospholipid metabolism,4.289440750795122e-05,1.0360967997089667,optimal,-3.2383212251909847e-15,-3.1255006540900512e-15,1.000000000000003,True,True,7.578300611786317e-14,True,1.036096799708967,4.2894407507951225e-05,essential_in_both
MAR07861,,Transport reactions,0.0082991353656684,1.0360967997089667,optimal,-1.980887445924237e-15,-1.9118748812665536e-15,1.000000000000002,True,True,6.975616700044808e-16,True,1.036096799708967,0.0082991353656686,essential_in_both
MAR06634,,Retinol metabolism,4.289440750795123e-05,1.0360967997089667,optimal,-1.361455867426833e-15,-1.3140238130348993e-15,1.000000000000001,True,True,-9.974602169405912e-17,True,1.036096799708967,4.289440750795123e-05,essential_in_both
MAR09167,Exchange of lipoic acid,Exchange/demand reactions,-4.289440750795122e-05,1.0360967997089667,optimal,-1.2731231063646768e-15,-1.228768496073233e-15,1.000000000000001,True,True,1.737755292081428e-16,True,1.036096799708967,-4.2894407507951225e-05,essential_in_both
