sample,scenario,reaction_id,reaction_name,subsystem,baseline_biomass,baseline_flux,ko_biomass,rel_drop,is_essential_TME,is_strong_sensitive_TME
TumorEdge,TME_edge,MAR03905,ethanol:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR03907,Ethanol:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04097,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04099,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04108,acetyl adenylate:CoA acetyltransferase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04133,ATP:acetate adenylyltransferase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04281,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,1.106473322376394,0.001216751354227741,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04388,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04283,Acetaldehyde:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08357,Acetaldehyde:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04379,ATP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04301,UTP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,1.106473322376394,0.10830863119212247,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04358,ATP:pyruvate 2-O-phosphotransferase,Glycolysis / Gluconeogenesis,1.106473322376394,17.911314402061787,1.1064733223763945,-4.013555508923466e-16,False,False
TumorEdge,TME_edge,MAR04360,2-Oxopropanal:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04363,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),Glycolysis / Gluconeogenesis,1.106473322376394,17.917222969603277,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04365,"D-phosphoglycerate 2,3-phosphomutase",Glycolysis / Gluconeogenesis,1.106473322376394,-17.917222969603277,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,Glycolysis / Gluconeogenesis,1.106473322376394,17.918399925276287,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04370,3-Phospho-D-glyceroyl phosphate phosphohydrolase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",Glycolysis / Gluconeogenesis,1.106473322376394,0.0007489717919165808,3.7075259380218506e-16,0.9999999999999996,True,False
TumorEdge,TME_edge,MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase",Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763945,-4.013555508923466e-16,False,False
TumorEdge,TME_edge,MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),Glycolysis / Gluconeogenesis,1.106473322376394,-17.919148897068204,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",Glycolysis / Gluconeogenesis,1.106473322376394,-6.0094021666840804,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04381,D-glucose-6-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763945,-4.013555508923466e-16,False,False
TumorEdge,TME_edge,MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,1.106473322376394,11.910174714265219,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04394,ATP:D-glucose 6-phosphotransferase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04396,"alpha-D-glucose 1,6-phosphomutase",Glycolysis / Gluconeogenesis,1.106473322376394,-0.004707822692047081,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04521,D-Glucose-6-phosphate phosphohydrolase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR06412,acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,Glycolysis / Gluconeogenesis,1.106473322376394,1.904787802530546,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR07745,D-glucose 1-epimerase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR07747,ADP:D-glucose 6-phosphotransferase,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08360,,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08652,,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08757,,Glycolysis / Gluconeogenesis,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR03989,maltose glucohydrolase,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04122,UDP-glucose:NAD+ 6-oxidoreductase,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR04837,"alpha,alpha-trehalose glucohydrolase",Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR05395,UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR05396,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR09727,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR05397,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR05398,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR05399,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR05400,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR05401,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08568,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08569,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08570,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08571,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08572,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08573,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08574,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08575,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08576,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08577,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08578,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08579,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08581,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08591,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08592,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08580,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08582,,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
TumorEdge,TME_edge,MAR08587,maltose glucohydrolase,Starch and sucrose metabolism,1.106473322376394,0.0,1.1064733223763943,-2.006777754461733e-16,False,False
