reaction_id,reaction_name,subsystem,Rich,TME_core,TME_edge,S_edge_vs_rich,S_core_vs_rich
MAR00001,,Acylglycerides metabolism,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00002,triacylglycerol acylhydrolase,Acylglycerides metabolism,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00003,"1,2-diacyl-sn-glycerol acylhydrolase",Acylglycerides metabolism,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00004,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00005,1-acylglycerol acylhydrolase,Acylglycerides metabolism,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00006,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00007,triacylglycerol acylhydrolase,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00008,"1,2-diacyl-sn-glycerol acylhydrolase",Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00009,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00010,1-acylglycerol acylhydrolase,Pool reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00011,,Pool reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00012,,Pool reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00013,,Pool reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00014,,Pool reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00015,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00016,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00017,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00018,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00019,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00020,,Transport reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
MAR00022,,Artificial reactions,0.0,0.0,-2.006777754461733e-16,-2.006777754461733e-16,0.0
