biomass_frac,Rich,TME_core,TME_edge
0.1,1183.1787267848083,1386.5321104987913,1402.288763629979
0.2,1177.3548206962805,1380.0750434402285,1396.0737238915126
0.3,1171.5304098385593,1373.6179763816674,1389.8586841530496
0.4,1165.7056688269704,1367.1609093231077,1383.643644414587
0.5,1159.8807397234318,1360.7038422645455,1377.428529572783
0.6,1154.055061093452,1354.2467752059824,1371.2133748136503
0.7,1148.2293824634717,1347.7897081474212,1364.998220054516
0.8,1142.403703833493,1341.3326410888594,1358.7830652953855
0.9,1136.5780252035117,1334.8755740302995,1352.5679105362526
0.95,1133.665185888522,1331.6470405010175,1349.4603331566839
0.99,1131.3349144365286,1329.0642136775934,1346.974271253034
