,ids,growth,status,growth_ratio,class
0,{'b4301'},0.8739215069684279,optimal,1.0,non-essential
1,{'b0733'},0.8739215069684305,optimal,1.000000000000003,non-essential
2,{'b2097'},0.8739215069684305,optimal,1.000000000000003,non-essential
3,{'b2296'},0.8739215069684279,optimal,1.0,non-essential
4,{'b1676'},0.8739215069684305,optimal,1.000000000000003,non-essential
5,{'b3386'},0.8739215069684305,optimal,1.000000000000003,non-essential
6,{'b0809'},0.8739215069684279,optimal,1.0,non-essential
7,{'b2463'},0.8739215069684305,optimal,1.000000000000003,non-essential
8,{'b0811'},0.8739215069684305,optimal,1.000000000000003,non-essential
9,{'b0723'},0.8142975075325307,optimal,0.9317741937228109,partially-essential
10,{'b3739'},0.8739215069684294,optimal,1.0000000000000018,non-essential
11,{'b0008'},0.8739215069684305,optimal,1.000000000000003,non-essential
12,{'b4014'},0.8739215069684279,optimal,1.0,non-essential
13,{'b1136'},-3.743396437539173e-15,optimal,-4.283446977434794e-15,lethal
14,{'b2282'},0.21166294973531075,optimal,0.24219903967068462,strongly-essential
15,{'b2925'},0.8739215069684279,optimal,1.0,non-essential
16,{'b2779'},1.5208622319983277e-15,optimal,1.7402732623826729e-15,lethal
17,{'b1603'},0.8739215069684287,optimal,1.000000000000001,non-essential
18,{'b1621'},0.8739215069684305,optimal,1.000000000000003,non-essential
19,{'b0875'},0.8739215069684305,optimal,1.000000000000003,non-essential
20,{'b3956'},0.8707448062160257,optimal,0.9963650044917398,non-essential
21,{'b1478'},0.8739215069684279,optimal,1.0,non-essential
22,{'b2417'},0.8739215069684305,optimal,1.000000000000003,non-essential
23,{'b0767'},0.863813309504001,optimal,0.9884335179031222,non-essential
24,{'b0729'},0.8583074080226897,optimal,0.9821332936410933,non-essential
25,{'b2029'},0.8638133095040006,optimal,0.9884335179031216,non-essential
26,{'b2465'},0.8739215069684311,optimal,1.0000000000000038,non-essential
27,{'b1524'},0.8739215069684279,optimal,1.0,non-essential
28,{'b3737'},0.3742298749331099,optimal,0.42821909284654974,strongly-essential
29,{'b4025'},0.8631595522084187,optimal,0.9876854446604231,non-essential
30,{'b3731'},0.3742298749331101,optimal,0.42821909284655,strongly-essential
31,{'b4090'},0.8739215069684306,optimal,1.000000000000003,non-essential
32,{'b3236'},0.8258192905969891,optimal,0.9449581959158987,partially-essential
33,{'b2277'},0.21166294973531125,optimal,0.2421990396706852,strongly-essential
34,{'b1479'},0.8739215069684313,optimal,1.000000000000004,non-essential
35,{'b1276'},0.8739215069684305,optimal,1.000000000000003,non-essential
36,{'b3738'},0.37422987493311033,optimal,0.42821909284655024,strongly-essential
37,{'b3735'},0.37422987493310994,optimal,0.4282190928465498,strongly-essential
38,{'b3212'},0.873921506968431,optimal,1.0000000000000036,non-essential
39,{'b0118'},0.8739215069684279,optimal,1.0,non-essential
40,{'b0721'},0.8142975075325314,optimal,0.9317741937228117,partially-essential
41,{'b2281'},0.2116629497353102,optimal,0.24219903967068399,strongly-essential
42,{'b3115'},0.8739215069684307,optimal,1.0000000000000033,non-essential
43,{'b0485'},0.8739215069684307,optimal,1.0000000000000033,non-essential
44,{'b0115'},0.7966959254309568,optimal,0.9116332749317944,partially-essential
45,{'b0726'},0.8583074080226893,optimal,0.9821332936410929,non-essential
46,{'b2286'},0.21166294973531058,optimal,0.24219903967068443,strongly-essential
47,{'b3962'},0.8739215069684307,optimal,1.0000000000000033,non-essential
48,{'b0451'},0.8739215069684279,optimal,1.0,non-essential
49,{'b2935'},0.8739215069684305,optimal,1.000000000000003,non-essential
50,{'b2976'},0.8739215069684305,optimal,1.000000000000003,non-essential
51,{'b2284'},0.21166294973531022,optimal,0.242199039670684,strongly-essential
