,ids,growth,status
0,{'LDH_D'},0.8739215069684322,optimal
1,{'THD2'},0.8739215069684307,optimal
2,{'PFL'},0.8739215069684279,optimal
3,{'AKGDH'},0.8583074080226881,optimal
4,{'PPC'},0.8707448062160248,optimal
5,{'EX_h2o_e'},0.38351544929678144,optimal
6,{'FBP'},0.8739215069684279,optimal
7,{'EX_co2_e'},0.4616696141601349,optimal
8,{'ACONTb'},0.0,optimal
9,{'FRUpts2'},0.8739215069684232,optimal
10,{'GND'},0.8638133095039997,optimal
11,{'FRD7'},0.8739215069684307,optimal
12,{'TALA'},0.8647591548314792,optimal
13,{'EX_ac_e'},0.8739215069684306,optimal
14,{'ENO'},0.0,optimal
15,{'EX_o2_e'},0.21166294973530922,optimal
16,{'FUMt2_2'},0.8739215069684279,optimal
17,{'GLUt2r'},0.8739215069684305,optimal
18,{'ACONTa'},-5.567065524108516e-15,optimal
19,{'CS'},-3.6927566298143634e-16,optimal
20,{'ACt2r'},0.8739215069684305,optimal
21,{'GLUDy'},0.851388523346209,optimal
22,{'SUCCt3'},0.8739215069684279,optimal
23,{'ICDHyr'},-3.743396437539173e-15,optimal
24,{'ATPS4r'},0.3742298749331101,optimal
25,{'ME2'},0.8739215069684306,optimal
26,{'FBA'},0.7040369478590252,optimal
27,{'SUCCt2_2'},0.8739215069684305,optimal
28,{'PPCK'},0.8739215069684279,optimal
29,{'GLUSy'},0.8739215069684305,optimal
30,{'TKT2'},0.8666740848328226,optimal
31,{'EX_for_e'},0.873921506968431,optimal
32,{'MALS'},0.8739215069684279,optimal
33,{'NH4t'},-2.023457533804958e-16,optimal
34,{'PDH'},0.7966959254309525,optimal
35,{'PYRt2'},0.8739215069684306,optimal
36,{'RPE'},0.8657155608953035,optimal
37,{'D_LACt2'},0.8739215069684305,optimal
38,{'RPI'},0.0,optimal
39,{'ACALD'},0.8739215069684328,optimal
40,{'GLNabc'},0.8739215069684279,optimal
41,{'MALt2_2'},0.8739215069684305,optimal
42,{'EX_mal__L_e'},0.8739215069684279,optimal
43,{'AKGt2r'},0.8739215069684305,optimal
44,{'ACALDt'},0.8739215069684311,optimal
45,{'EX_nh4_e'},6.744858446016528e-17,optimal
46,{'EX_pyr_e'},0.8739215069684286,optimal
47,{'CYTBD'},0.2116629497353105,optimal
48,{'EX_lac__D_e'},0.8739215069684279,optimal
49,{'SUCDi'},0.8142975075325314,optimal
50,{'EX_etoh_e'},0.8739215069684307,optimal
51,{'FORti'},0.8739215069684305,optimal
52,{'SUCOAS'},0.858307408022689,optimal
53,{'ATPM'},0.916647463751049,optimal
54,{'EX_akg_e'},0.8739215069684287,optimal
55,{'PYK'},0.8649260179498692,optimal
56,{'PFK'},0.7040369478590252,optimal
57,{'GLUN'},0.8739215069684306,optimal
58,{'MDH'},0.8258192905969891,optimal
59,{'EX_h_e'},-2.429031729715036e-16,optimal
60,{'EX_glu__L_e'},0.8739215069684279,optimal
61,{'FORt2'},0.8739215069684305,optimal
62,{'Biomass_Ecoli_core'},0.0,optimal
63,{'NADH16'},0.21166294973530697,optimal
64,{'TKT1'},0.8647591548314792,optimal
65,{'EX_fum_e'},0.8739215069684307,optimal
66,{'EX_succ_e'},0.8739215069684279,optimal
67,{'PGI'},0.8631595522084181,optimal
68,{'PGM'},0.0,optimal
69,{'ACKr'},0.8739215069684286,optimal
70,{'ICL'},0.8739215069684279,optimal
71,{'GLNS'},-6.744858446016528e-17,optimal
72,{'FUM'},0.8142975075325307,optimal
73,{'PGK'},-2.567316906544118e-16,optimal
74,{'PPS'},0.8739215069684279,optimal
75,{'GAPD'},4.960407792924738e-16,optimal
76,{'H2Ot'},0.3835154492967838,optimal
77,{'EX_gln__L_e'},0.8739215069684307,optimal
78,{'PGL'},0.8638133095040028,optimal
79,{'EX_pi_e'},-4.598942039505192e-15,optimal
80,{'ME1'},0.8739215069684303,optimal
81,{'TPI'},0.7040369478590248,optimal
82,{'ETOHt2r'},0.8739215069684279,optimal
83,{'CO2t'},0.4616696141601349,optimal
84,{'PTAr'},0.8739215069684305,optimal
85,{'ALCD2x'},0.8739215069684279,optimal
86,{'PIt2r'},-1.4366548490015188e-14,optimal
87,{'G6PDH2r'},0.8638133095040051,optimal
88,{'EX_fru_e'},0.8739215069684311,optimal
89,{'NADTRHD'},0.8739215069684291,optimal
90,{'O2t'},0.2116629497353101,optimal
91,{'EX_acald_e'},0.8739215069684279,optimal
92,{'GLCpts'},,infeasible
93,{'EX_glc__D_e'},,infeasible
94,{'ADK1'},0.8739215069684303,optimal
