reaction,min_wt,max_wt,range_wt,min_ko,max_ko,range_ko,delta_range,delta_abs,delta_min,delta_max
FORt2,0.0,2.1004504144525245e-12,2.1004504144525245e-12,0.0,71.282999760628,71.282999760628,71.2829997606259,71.2829997606259,0.0,71.2829997606259
FORti,0.0,2.911307239306379e-12,2.911307239306379e-12,0.0,71.28299976062799,71.28299976062799,71.28299976062507,71.28299976062507,0.0,71.28299976062507
NADTRHD,0.0,2.327306431371252e-12,2.327306431371252e-12,43.72667877610213,79.3681786564162,35.64149988031407,35.64149988031174,35.64149988031174,43.72667877610213,79.36817865641387
THD2,0.0,2.3061399371924674e-12,2.3061399371924674e-12,0.0,35.64149988031401,35.64149988031401,35.6414998803117,35.6414998803117,0.0,35.6414998803117
SUCCt3,0.0,7.033518122043714e-13,7.033518122043714e-13,0.0,23.76099992020924,23.76099992020924,23.760999920208537,23.760999920208537,0.0,23.760999920208537
SUCCt2_2,-4.400707534105762e-14,9.704357464354592e-13,1.0144428217765168e-12,-1.1469608113581547e-14,23.76099992020929,23.7609999202093,23.760999920208285,23.760999920208285,3.253746722747608e-14,23.76099992020832
GLUSy,0.0,5.922962629089426e-13,5.922962629089426e-13,0.0,17.82074994015707,17.82074994015707,17.820749940156478,17.820749940156478,0.0,17.820749940156478
PPCK,0.0,5.414051116665243e-13,5.414051116665243e-13,0.0,17.820749940156976,17.820749940156976,17.820749940156436,17.820749940156436,0.0,17.820749940156436
GLUN,0.0,5.631462549163299e-13,5.631462549163299e-13,0.0,17.820749940156993,17.820749940156993,17.82074994015643,17.82074994015643,0.0,17.82074994015643
GLUDy,-4.541857463865664,-4.541857463864884,7.807088309164101e-13,-3.6589504217181332,14.161799518438944,17.82074994015708,17.820749940156297,17.820749940156297,0.8829070421475311,18.703656982303826
ADK1,0.0,7.27826809826595e-13,7.27826809826595e-13,4.607428997873797,22.428178938030808,17.82074994015701,17.820749940156283,17.820749940156283,4.607428997873797,22.42817893803008
PPS,0.0,7.27826809826595e-13,7.27826809826595e-13,4.607428997873797,22.428178938030808,17.82074994015701,17.820749940156283,17.820749940156283,4.607428997873797,22.42817893803008
ATPM,8.39,8.390000000000729,7.283063041541027e-13,8.39,26.210749940156997,17.820749940156997,17.82074994015627,17.82074994015627,0.0,17.82074994015627
GLNS,0.22346172933182676,0.2234617293325546,7.27834459368637e-13,0.18002224756755225,18.000772187724547,17.820749940156993,17.820749940156265,17.820749940156265,-0.04343948176427451,17.77731045839199
ATPS4r,45.514009774515955,45.51400977451799,2.0321522242738865e-12,51.06456596122158,68.88531590137858,17.820749940156993,17.82074994015496,17.82074994015496,5.550556186705627,23.37130612686059
PYK,1.758177444106066,1.7581774441091709,3.1048497106667128e-12,0.0,17.820749940156997,17.820749940156997,17.820749940153892,17.820749940153892,-1.758177444106066,16.062572496047824
PPC,2.5043094703658038,2.504309470369688,3.884448318558498e-12,2.0174882777848078,19.838238217941807,17.820749940157,17.820749940153117,17.820749940153117,-0.486821192580996,17.33392874757212
ME1,0.0,7.278268098265935e-13,7.278268098265935e-13,0.0,8.910374970078498,8.910374970078498,8.91037497007777,8.91037497007777,0.0,8.91037497007777
ME2,0.0,7.814122680989531e-13,7.814122680989531e-13,0.0,8.910374970078509,8.910374970078509,8.910374970077727,8.910374970077727,0.0,8.910374970077727
MDH,5.064375661481564,5.0643756614845135,2.949640531824116e-12,-8.91037497007842,1.579677817493508e-14,8.910374970078436,8.910374970075488,8.910374970075488,-13.974750631559985,-5.0643756614844975
