reaction,min_wt,max_wt,range_wt,min_ko,max_ko,range_ko,delta_range,delta_abs,delta_min,delta_max
ACALD,-1.0782619404838427e-13,0.0,1.0782619404838427e-13,-7.898389087467534e-15,0.0,7.898389087467534e-15,-9.992780496091673e-14,9.992780496091673e-14,9.992780496091673e-14,0.0
ACALDt,-7.361426663218373e-14,0.0,7.361426663218373e-14,-7.176695966377657e-15,0.0,7.176695966377657e-15,-6.643757066580608e-14,6.643757066580608e-14,6.643757066580608e-14,0.0
ACKr,-1.6173929107257622e-13,0.0,1.6173929107257622e-13,-7.898389087467534e-15,0.0,7.898389087467534e-15,-1.5384090198510868e-13,1.5384090198510868e-13,1.5384090198510868e-13,0.0
ACONTa,6.0072495753499515,6.007249575350995,1.0436096431476471e-12,0.7595854630450993,0.7595854630451067,7.327471962526033e-15,-1.0362821711851211e-12,1.0362821711851211e-12,-5.247664112304852,-5.2476641123058885
ACONTb,6.00724957534983,6.007249575350996,1.1661782650662644e-12,0.7595854630450988,0.7595854630451067,7.882583474838611e-15,-1.1582956815914258e-12,1.1582956815914258e-12,-5.247664112304731,-5.247664112305889
ACt2r,-1.281188853995817e-13,0.0,1.281188853995817e-13,-8.752846799206929e-15,0.0,8.752846799206929e-15,-1.193660386003748e-13,1.193660386003748e-13,1.193660386003748e-13,0.0
ADK1,0.0,7.27826809826595e-13,7.27826809826595e-13,4.607428997873797,22.428178938030808,17.82074994015701,17.820749940156283,17.820749940156283,4.607428997873797,22.42817893803008
AKGDH,5.064375661478691,5.064375661482609,3.9186431877169525e-12,0.0,1.1064072948165555e-14,1.1064072948165555e-14,-3.907579114768787e-12,3.907579114768787e-12,-5.064375661478691,-5.0643756614825985
AKGt2r,-6.065223415221617e-14,0.0,6.065223415221617e-14,-3.949194543733767e-15,0.0,3.949194543733767e-15,-5.6703039608482397e-14,5.6703039608482397e-14,5.6703039608482397e-14,0.0
ALCD2x,-7.655142364136168e-14,0.0,7.655142364136168e-14,-1.2758570606893613e-14,0.0,1.2758570606893613e-14,-6.379285303446807e-14,6.379285303446807e-14,6.379285303446807e-14,0.0
ATPM,8.39,8.390000000000729,7.283063041541027e-13,8.39,26.210749940156997,17.820749940156997,17.82074994015627,17.82074994015627,0.0,17.82074994015627
ATPS4r,45.514009774515955,45.51400977451799,2.0321522242738865e-12,51.06456596122158,68.88531590137858,17.820749940156993,17.82074994015496,17.82074994015496,5.550556186705627,23.37130612686059
Biomass_Ecoli_core,0.8739215069684271,0.8739215069684307,3.6637359812630166e-15,0.7040369478590233,0.7040369478590239,6.661338147750939e-16,-2.9976021664879227e-15,2.9976021664879227e-15,-0.1698845591094038,-0.1698845591094068
CO2t,-22.809833310205075,-22.809833310204652,4.227729277772596e-13,-30.03935566538537,-26.641180529154152,3.3981751362312167,3.398175136230794,3.398175136230794,-7.229522355180293,-3.8313472189494995
CS,6.007249575349829,6.007249575350995,1.1661782650662644e-12,0.7595854630450988,0.7595854630451065,7.771561172376096e-15,-1.1584067038938883e-12,1.1584067038938883e-12,-5.24766411230473,-5.2476641123058885
CYTBD,43.598985311997275,43.59898531199778,5.044853423896711e-13,55.052661963699826,58.45083709993109,3.3981751362312664,3.398175136230762,3.398175136230762,11.453676651702551,14.851851787933313
D_LACt2,-9.097835122832425e-14,0.0,9.097835122832425e-14,-7.898389087467535e-15,0.0,7.898389087467535e-15,-8.307996214085671e-14,8.307996214085671e-14,8.307996214085671e-14,0.0
ENO,14.716139568742415,14.716139568743452,1.0373923942097463e-12,7.775524859544627,7.775524859544632,4.440892098500626e-15,-1.0329515021112456e-12,1.0329515021112456e-12,-6.940614709197788,-6.940614709198821
ETOHt2r,-9.391313675181858e-14,0.0,9.391313675181858e-14,-7.898389087467534e-15,0.0,7.898389087467534e-15,-8.601474766435104e-14,8.601474766435104e-14,8.601474766435104e-14,0.0
EX_ac_e,0.0,1.6173929107257625e-13,1.6173929107257625e-13,0.0,7.898389087467534e-15,7.898389087467534e-15,-1.538409019851087e-13,1.538409019851087e-13,0.0,-1.538409019851087e-13
EX_acald_e,0.0,1.0782619404838426e-13,1.0782619404838426e-13,0.0,7.898389087467535e-15,7.898389087467535e-15,-9.992780496091672e-14,9.992780496091672e-14,0.0,-9.992780496091672e-14
EX_akg_e,0.0,3.483893464500396e-14,3.483893464500396e-14,0.0,5.734804056790775e-15,5.734804056790775e-15,-2.9104130588213186e-14,2.9104130588213186e-14,0.0,-2.9104130588213186e-14
EX_co2_e,22.809833310204652,22.809833310205143,4.902744876744691e-13,26.641180529154152,30.03935566538534,3.3981751362311883,3.398175136230698,3.398175136230698,3.8313472189494995,7.2295223551801975
EX_etoh_e,0.0,6.296311769170937e-14,6.296311769170937e-14,0.0,1.1140883422162999e-14,1.1140883422162999e-14,-5.182223426954637e-14,5.182223426954637e-14,0.0,-5.182223426954637e-14
EX_for_e,0.0,4.852178732177295e-13,4.852178732177295e-13,0.0,3.3981751362311625,3.3981751362311625,3.398175136230677,3.398175136230677,0.0,3.398175136230677
EX_fru_e,0.0,3.84688896303862e-14,3.84688896303862e-14,0.0,0.0,0.0,-3.84688896303862e-14,3.84688896303862e-14,0.0,-3.84688896303862e-14
EX_fum_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_glc__D_e,-10.0,-9.99999999999997,3.019806626980426e-14,-10.0,-9.99999999999999,1.0658141036401503e-14,-1.9539925233402755e-14,1.9539925233402755e-14,0.0,-1.9539925233402755e-14
EX_gln__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_glu__L_e,0.0,4.141166194552129e-14,4.141166194552129e-14,0.0,2.6327963624891784e-15,2.6327963624891784e-15,-3.8778865583032115e-14,3.8778865583032115e-14,0.0,-3.8778865583032115e-14
EX_h_e,17.53086542978657,17.53086542978712,5.506706202140776e-13,14.12298117405203,17.521156310283175,3.398175136231144,3.398175136230593,3.398175136230593,-3.4078842557345386,-0.009709119503945374
EX_h2o_e,29.175827135565576,29.175827135565985,4.085620730620576e-13,31.76966727213843,35.16784240836962,3.398175136231192,3.3981751362307833,3.3981751362307833,2.5938401365728545,5.992015272803638
EX_lac__D_e,0.0,9.097835122832423e-14,9.097835122832423e-14,0.0,7.898389087467534e-15,7.898389087467534e-15,-8.30799621408567e-14,8.30799621408567e-14,0.0,-8.30799621408567e-14
EX_mal__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_nh4_e,-4.765319193197491,-4.7653191931974375,5.3290705182007514e-14,-3.838972669285685,-3.838972669285681,3.9968028886505635e-15,-4.929390229335695e-14,4.929390229335695e-14,0.9263465239118056,0.9263465239117563
EX_o2_e,-21.79949265599881,-21.799492655998634,1.7763568394002505e-13,-29.225418549965543,-27.526330981849902,1.6990875681156403,1.6990875681154627,1.6990875681154627,-7.425925893966731,-5.7268383258512685
EX_pi_e,-3.2148950476848146,-3.214895047684801,1.3766765505351941e-14,-2.5899407200889857,-2.5899407200889835,2.220446049250313e-15,-1.1546319456101628e-14,1.1546319456101628e-14,0.6249543275958289,0.6249543275958174
EX_pyr_e,0.0,7.906190707063162e-14,7.906190707063162e-14,0.0,1.2758570606893609e-14,1.2758570606893609e-14,-6.630333646373802e-14,6.630333646373802e-14,0.0,-6.630333646373802e-14
EX_succ_e,0.0,7.100749364161891e-14,7.100749364161891e-14,0.0,1.1140883422162999e-14,1.1140883422162999e-14,-5.986661021945592e-14,5.986661021945592e-14,0.0,-5.986661021945592e-14
FBA,7.477381962159729,7.4773819621607505,1.021405182655144e-12,-7.898389087467534e-15,0.0,7.898389087467534e-15,-1.0135067935676765e-12,1.0135067935676765e-12,-7.477381962159737,-7.4773819621607505
FBP,0.0,5.604081315904803e-13,5.604081315904803e-13,0.0,7.898389087467534e-15,7.898389087467534e-15,-5.525097425030128e-13,5.525097425030128e-13,0.0,-5.525097425030128e-13
FORt2,0.0,2.1004504144525245e-12,2.1004504144525245e-12,0.0,71.282999760628,71.282999760628,71.2829997606259,71.2829997606259,0.0,71.2829997606259
FORti,0.0,2.911307239306379e-12,2.911307239306379e-12,0.0,71.28299976062799,71.28299976062799,71.28299976062507,71.28299976062507,0.0,71.28299976062507
FRD7,0.0,994.9356243385181,994.9356243385181,0.0,1000.0,1000.0,5.064375661481904,5.064375661481904,0.0,5.064375661481904
FRUpts2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUM,5.064375661481714,5.064375661482608,8.943956686380261e-13,-5.265592724978354e-15,7.89838908746754e-15,1.3163981812445893e-14,-8.812316868255803e-13,8.812316868255803e-13,-5.064375661481719,-5.0643756614826
FUMt2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G6PDH2r,4.959984944573255,4.95998494457633,3.0757618674215337e-12,27.89908334389387,27.89908334389392,4.973799150320701e-14,-3.0260238759183267e-12,3.0260238759183267e-12,22.939098399320617,22.93909839931759
GAPD,16.023526143167054,16.02352614316822,1.1652900866465643e-12,8.828764133541723,8.828764133541732,8.881784197001252e-15,-1.156408302449563e-12,1.156408302449563e-12,-7.194762009625331,-7.194762009626487
GLCpts,9.99999999999997,10.000000000000002,3.197442310920451e-14,9.999999999999995,10.000000000000002,7.105427357601002e-15,-2.4868995751603507e-14,2.4868995751603507e-14,2.4868995751603507e-14,0.0
GLNS,0.22346172933182676,0.2234617293325546,7.27834459368637e-13,0.18002224756755225,18.000772187724547,17.820749940156993,17.820749940156265,17.820749940156265,-0.04343948176427451,17.77731045839199
GLNabc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUDy,-4.541857463865664,-4.541857463864884,7.807088309164101e-13,-3.6589504217181332,14.161799518438944,17.82074994015708,17.820749940156297,17.820749940156297,0.8829070421475311,18.703656982303826
GLUN,0.0,5.631462549163299e-13,5.631462549163299e-13,0.0,17.820749940156993,17.820749940156993,17.82074994015643,17.82074994015643,0.0,17.82074994015643
GLUSy,0.0,5.922962629089426e-13,5.922962629089426e-13,0.0,17.82074994015707,17.82074994015707,17.820749940156478,17.820749940156478,0.0,17.820749940156478
GLUt2r,-5.3913097024192135e-14,0.0,5.3913097024192135e-14,-3.949194543733767e-15,0.0,3.949194543733767e-15,-4.9963902480458366e-14,4.9963902480458366e-14,4.9963902480458366e-14,0.0
GND,4.959984944572836,4.9599849445763295,3.4932057246805925e-12,27.899083343893867,27.899083343893913,4.618527782440651e-14,-3.447020446856186e-12,3.447020446856186e-12,22.939098399321033,22.939098399317583
H2Ot,-29.175827135565907,-29.175827135565537,3.694822225952521e-13,-35.167842408369616,-31.769667272138435,3.398175136231181,3.3981751362308117,3.3981751362308117,-5.992015272803709,-2.593840136572897
ICDHyr,6.007249575346921,6.007249575350995,4.0740744111644744e-12,0.7595854630450988,0.7595854630451058,6.994405055138486e-15,-4.067080006109336e-12,4.067080006109336e-12,-5.247664112301822,-5.247664112305889
ICL,0.0,2.241632526361911e-12,2.241632526361911e-12,0.0,9.56892795517021e-15,9.56892795517021e-15,-2.232063598406741e-12,2.232063598406741e-12,0.0,-2.232063598406741e-12
LDH_D,-9.097835122832423e-14,0.0,9.097835122832423e-14,-7.898389087467534e-15,0.0,7.898389087467534e-15,-8.30799621408567e-14,8.30799621408567e-14,8.30799621408567e-14,0.0
MALS,0.0,2.9113072393063614e-12,2.9113072393063614e-12,0.0,7.89838908746754e-15,7.89838908746754e-15,-2.9034088502188937e-12,2.9034088502188937e-12,0.0,-2.9034088502188937e-12
MALt2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDH,5.064375661481564,5.0643756614845135,2.949640531824116e-12,-8.91037497007842,1.579677817493508e-14,8.910374970078436,8.910374970075488,8.910374970075488,-13.974750631559985,-5.0643756614844975
ME1,0.0,7.278268098265935e-13,7.278268098265935e-13,0.0,8.910374970078498,8.910374970078498,8.91037497007777,8.91037497007777,0.0,8.91037497007777
ME2,0.0,7.814122680989531e-13,7.814122680989531e-13,0.0,8.910374970078509,8.910374970078509,8.910374970077727,8.910374970077727,0.0,8.910374970077727
NADH16,38.5346096505151,38.53460965051627,1.1723955140041653e-12,55.052661963699805,58.450837099931064,3.3981751362312593,3.398175136230087,3.398175136230087,16.518052313184704,19.91622744941479
