,SUCOAS,GLNabc,AKGDH,PPS,GLUt2r,MALS,MDH,FBA,FBP,ACALD,ACKr,ENO,D_LACt2,AKGt2r,TPI,THD2,PTAr,TKT2,ETOHt2r,FRD7
SUCOAS,0.9821332936410934,0.9821332936410925,0.9821332936410925,0.9821332936410925,0.9821332936410925,0.9317741937228108,0.9317741937228103,0.8056066159777652,0.9821332936410924,0.9821332936410925,0.9821332936410925,4.880950073999112e-16,0.9821332936410894,0.982133293641092,0.805606615977765,0.9821332936410924,0.982133293641092,0.9603227363159246,0.982133293641092,0.982133293641092
GLNabc,0.9821332936410925,1.0000000000000029,0.9821332936410914,1.0000000000000029,1.0000000000000033,1.0000000000000033,0.9449581959158986,0.8056066159777631,1.000000000000003,1.0000000000000033,1.0000000000000033,-7.908894803502615e-16,0.9999999999999963,1.000000000000003,0.8056066159777661,1.000000000000003,1.000000000000003,0.991707010208794,1.0000000000000036,1.000000000000003
AKGDH,0.9821332936410925,0.9821332936410914,0.9821332936410915,0.9821332936410925,0.9821332936410925,0.9317741937228108,0.9317741937228103,0.8056066159777645,0.9821332936410923,0.9821332936410925,0.9821332936410925,4.880950073999112e-16,0.9821332936410894,0.982133293641092,0.805606615977765,0.9821332936410924,0.982133293641092,0.9603227363159246,0.982133293641092,0.982133293641092
PPS,0.9821332936410925,1.0000000000000029,0.9821332936410925,1.0000000000000029,1.0000000000000033,1.0000000000000033,0.8788243847794567,0.5515047282413811,1.000000000000003,1.0000000000000033,1.0000000000000033,0.0,1.0000000000000036,1.0000000000000033,0.5515047282413791,1.000000000000003,1.0000000000000033,0.9917070102087946,1.0000000000000036,1.0000000000000033
GLUt2r,0.9821332936410925,1.0000000000000033,0.9821332936410925,1.0000000000000033,1.0000000000000033,1.0000000000000033,0.9449581959158982,0.8056066159777631,1.000000000000003,1.000000000000003,1.000000000000003,1.7402732623826729e-15,1.000000000000001,1.000000000000003,0.8056066159777661,1.0000000000000033,1.000000000000003,0.991707010208794,1.0000000000000036,1.000000000000003
MALS,0.9317741937228108,1.0000000000000033,0.9317741937228108,1.0000000000000033,1.0000000000000033,1.000000000000003,0.9449581959158982,0.8056066159777628,1.0000000000000029,1.0000000000000033,1.0000000000000033,-5.064008851950641e-16,1.0000000000000036,1.0000000000000033,0.8056066159777646,1.000000000000003,1.0000000000000033,0.9917070102087946,1.0000000000000036,1.0000000000000033
MDH,0.9317741937228103,0.9449581959158986,0.9317741937228103,0.8788243847794567,0.9449581959158982,0.9449581959158982,0.9449581959158982,0.8056066159777628,0.9449581959158986,0.9449581959158982,0.9449581959158982,-2.7491209555231306e-16,0.9449581959158994,0.9449581959158982,0.8056066159777628,0.9449581959158986,0.9449581959158982,0.9441877995018575,0.9449581959158981,0.9449581959158982
FBA,0.8056066159777652,0.8056066159777631,0.8056066159777645,0.5515047282413811,0.8056066159777631,0.8056066159777628,0.8056066159777628,0.8056066159777631,0.8056066159777646,0.8056066159777646,0.8056066159777646,0.0,0.8056066159777655,0.8056066159777646,0.8056066159777646,0.8056066159777646,0.8056066159777646,0.0,0.8056066159777655,0.8056066159777646
FBP,0.9821332936410924,1.000000000000003,0.9821332936410923,1.000000000000003,1.000000000000003,1.0000000000000029,0.9449581959158986,0.8056066159777646,1.0000000000000033,1.0000000000000033,1.0000000000000033,0.0,1.0000000000000022,1.0000000000000033,0.8056066159777646,1.000000000000003,1.0000000000000033,0.9917070102087946,1.0000000000000036,1.0000000000000033
ACALD,0.9821332936410925,1.0000000000000033,0.9821332936410925,1.0000000000000033,1.000000000000003,1.0000000000000033,0.9449581959158982,0.8056066159777646,1.0000000000000033,1.0000000000000033,1.0000000000000033,-7.908894803502615e-16,0.9999999999999963,1.0000000000000033,0.8056066159777646,1.000000000000003,1.0000000000000033,0.9917070102087946,1.0000000000000036,1.0000000000000033
ACKr,0.9821332936410925,1.0000000000000033,0.9821332936410925,1.0000000000000033,1.000000000000003,1.0000000000000033,0.9449581959158982,0.8056066159777646,1.0000000000000033,1.0000000000000033,1.0000000000000033,-7.908894803502615e-16,0.9999999999999963,1.0000000000000033,0.8056066159777646,1.000000000000003,1.0000000000000033,0.9917070102087946,1.0000000000000036,1.0000000000000033
ENO,4.880950073999112e-16,-7.908894803502615e-16,4.880950073999112e-16,0.0,1.7402732623826729e-15,-5.064008851950641e-16,-2.7491209555231306e-16,0.0,0.0,-7.908894803502615e-16,-7.908894803502615e-16,-7.908894803502615e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_LACt2,0.9821332936410894,0.9999999999999963,0.9821332936410894,1.0000000000000036,1.000000000000001,1.0000000000000036,0.9449581959158994,0.8056066159777655,1.0000000000000022,0.9999999999999963,0.9999999999999963,0.0,1.0000000000000033,1.0000000000000033,0.8056066159777646,1.000000000000003,1.0000000000000033,0.9917070102087946,1.0000000000000036,1.0000000000000033
AKGt2r,0.982133293641092,1.000000000000003,0.982133293641092,1.0000000000000033,1.000000000000003,1.0000000000000033,0.9449581959158982,0.8056066159777646,1.0000000000000033,1.0000000000000033,1.0000000000000033,0.0,1.0000000000000033,1.0000000000000033,0.8056066159777646,1.000000000000003,1.0000000000000033,0.9917070102087946,1.0000000000000036,1.0000000000000033
TPI,0.805606615977765,0.8056066159777661,0.805606615977765,0.5515047282413791,0.8056066159777661,0.8056066159777646,0.8056066159777628,0.8056066159777646,0.8056066159777646,0.8056066159777646,0.8056066159777646,0.0,0.8056066159777646,0.8056066159777646,0.8056066159777646,0.8056066159777646,0.8056066159777646,0.0,0.8056066159777654,0.8056066159777646
THD2,0.9821332936410924,1.000000000000003,0.9821332936410924,1.000000000000003,1.0000000000000033,1.000000000000003,0.9449581959158986,0.8056066159777646,1.000000000000003,1.000000000000003,1.000000000000003,0.0,1.000000000000003,1.000000000000003,0.8056066159777646,1.000000000000003,1.0000000000000033,0.9669725256019147,1.0000000000000036,1.0000000000000033
PTAr,0.982133293641092,1.000000000000003,0.982133293641092,1.0000000000000033,1.000000000000003,1.0000000000000033,0.9449581959158982,0.8056066159777646,1.0000000000000033,1.0000000000000033,1.0000000000000033,0.0,1.0000000000000033,1.0000000000000033,0.8056066159777646,1.0000000000000033,1.0000000000000033,0.9917070102087946,1.0000000000000036,1.0000000000000033
TKT2,0.9603227363159246,0.991707010208794,0.9603227363159246,0.9917070102087946,0.991707010208794,0.9917070102087946,0.9441877995018575,0.0,0.9917070102087946,0.9917070102087946,0.9917070102087946,0.0,0.9917070102087946,0.9917070102087946,0.0,0.9669725256019147,0.9917070102087946,0.9917070102087946,0.9917070102087948,0.9917070102087948
ETOHt2r,0.982133293641092,1.0000000000000036,0.982133293641092,1.0000000000000036,1.0000000000000036,1.0000000000000036,0.9449581959158981,0.8056066159777655,1.0000000000000036,1.0000000000000036,1.0000000000000036,0.0,1.0000000000000036,1.0000000000000036,0.8056066159777654,1.0000000000000036,1.0000000000000036,0.9917070102087948,1.0000000000000036,1.0000000000000033
FRD7,0.982133293641092,1.000000000000003,0.982133293641092,1.0000000000000033,1.000000000000003,1.0000000000000033,0.9449581959158982,0.8056066159777646,1.0000000000000033,1.0000000000000033,1.0000000000000033,0.0,1.0000000000000033,1.0000000000000033,0.8056066159777646,1.0000000000000033,1.0000000000000033,0.9917070102087948,1.0000000000000033,1.0000000000000033
