rxn_i,rxn_j,single_gr_i,single_gr_j,double_gr_ij
GLNabc,ENO,1.000000000000004,1.000000000000003,-7.908894803502615e-16
ENO,ENO,1.000000000000003,1.000000000000003,-7.908894803502615e-16
ACALD,ENO,1.000000000000003,1.000000000000003,-7.908894803502615e-16
ACKr,ENO,1.000000000000003,1.000000000000003,-7.908894803502615e-16
MALS,ENO,1.0000000000000036,1.000000000000003,-5.064008851950641e-16
MDH,ENO,1.0000000000000033,1.000000000000003,-2.7491209555231306e-16
FBA,ENO,1.000000000000003,1.000000000000003,0.0
PPS,ENO,1.0000000000000038,1.000000000000003,0.0
FBA,TKT2,1.000000000000003,1.000000000000003,0.0
ENO,D_LACt2,1.000000000000003,1.000000000000003,0.0
ENO,AKGt2r,1.000000000000003,1.000000000000003,0.0
FBP,ENO,1.000000000000003,1.000000000000003,0.0
ENO,TPI,1.000000000000003,1.000000000000003,0.0
ENO,TKT2,1.000000000000003,1.000000000000003,0.0
ENO,PTAr,1.000000000000003,1.000000000000003,0.0
ENO,THD2,1.000000000000003,1.000000000000003,0.0
ENO,FRD7,1.000000000000003,1.000000000000003,0.0
TPI,TKT2,1.000000000000003,1.000000000000003,0.0
ENO,ETOHt2r,1.000000000000003,1.000000000000003,0.0
SUCOAS,ENO,1.048889924829559,1.000000000000003,4.880950073999112e-16
AKGDH,ENO,1.0000000000000038,1.000000000000003,4.880950073999112e-16
GLUt2r,ENO,1.0000000000000036,1.000000000000003,1.7402732623826729e-15
