gene_id,gene_name,n_reactions,reactions,subsystems
b0008,talB,1,TALA,
b0114,aceE,1,PDH,
b0115,aceF,1,PDH,
b0116,lpd,2,AKGDH;PDH,
b0118,acnB,2,ACONTa;ACONTb,
b0351,mhpF,1,ACALD,
b0356,frmA,1,ALCD2x,
b0451,amtB,1,NH4t,
b0474,adk,1,ADK1,
b0485,glsA,1,GLUN,
b0720,gltA,1,CS,
b0721,sdhC,1,SUCDi,
b0722,sdhD,1,SUCDi,
b0723,sdhA,1,SUCDi,
b0724,sdhB,1,SUCDi,
b0726,sucA,1,AKGDH,
b0727,sucB,1,AKGDH,
b0728,sucC,1,SUCOAS,
b0729,sucD,1,SUCOAS,
b0733,cydA,1,CYTBD,
b0734,cydB,1,CYTBD,
b0755,gpmA,1,PGM,
b0767,pgl,1,PGL,
b0809,glnQ,1,GLNabc,
b0810,glnP,1,GLNabc,
b0811,glnH,1,GLNabc,
b0875,aqpZ,1,H2Ot,
b0902,pflA,1,PFL,
b0903,pflB,1,PFL,
b0904,focA,2,FORt2;FORti,
b0978,cbdA,1,CYTBD,
b0979,cbdB,1,CYTBD,
b1101,ptsG,1,GLCpts,
b1136,icd,1,ICDHyr,
b1241,adhE,2,ACALD;ALCD2x,
b1276,acnA,2,ACONTa;ACONTb,
b1297,puuA,1,GLNS,
b1380,ldhA,1,LDH_D,
b1478,adhP,1,ALCD2x,
b1479,maeA,1,ME1,
b1524,glsB,1,GLUN,
b1602,pntB,2,NADTRHD;THD2,
b1603,pntA,2,NADTRHD;THD2,
b1611,fumC,1,FUM,
b1612,fumA,1,FUM,
b1621,malX,1,GLCpts,
b1676,pykF,1,PYK,
b1702,ppsA,1,PPS,
b1723,pfkB,1,PFK,
b1761,gdhA,1,GLUDy,
b1773,ydjI,1,FBA,
b1779,gapA,1,GAPD,
b1812,pabB,1,GLUN,
b1817,manX,2,FRUpts2;GLCpts,
b1818,manY,2,FRUpts2;GLCpts,
b1819,manZ,2,FRUpts2;GLCpts,
b1849,purT,1,ACKr,
b1852,zwf,1,G6PDH2r,
b1854,pykA,1,PYK,
b2029,gnd,1,GND,
b2097,fbaB,1,FBA,
b2133,dld,1,LDH_D,
b2276,nuoN,1,NADH16,
b2277,nuoM,1,NADH16,
b2278,nuoL,1,NADH16,
b2279,nuoK,1,NADH16,
b2280,nuoJ,1,NADH16,
b2281,nuoI,1,NADH16,
b2282,nuoH,1,NADH16,
b2283,nuoG,1,NADH16,
b2284,nuoF,1,NADH16,
b2285,nuoE,1,NADH16,
b2286,nuoC,1,NADH16,
b2287,nuoB,1,NADH16,
b2288,nuoA,1,NADH16,
b2296,ackA,1,ACKr,
b2297,pta,1,PTAr,
b2415,ptsH,2,FRUpts2;GLCpts,
b2416,ptsI,2,FRUpts2;GLCpts,
b2417,crr,1,GLCpts,
b2458,eutD,1,PTAr,
b2463,maeB,1,ME2,
b2464,talA,1,TALA,
b2465,tktB,2,TKT1;TKT2,
b2492,focB,2,FORt2;FORti,
b2579,grcA,1,PFL,
b2587,kgtP,1,AKGt2r,
b2779,eno,1,ENO,
b2914,rpiA,1,RPI,
b2925,fbaA,1,FBA,
b2926,pgk,1,PGK,
b2935,tktA,2,TKT1;TKT2,
b2975,glcA,1,D_LACt2,
b2976,glcB,1,MALS,
b2987,pitB,1,PIt2r,
b3114,tdcE,1,PFL,
b3115,tdcD,1,ACKr,
b3212,gltB,1,GLUSy,
b3213,gltD,1,GLUSy,
b3236,mdh,1,MDH,
b3386,rpe,1,RPE,
b3403,pck,1,PPCK,
b3493,pitA,1,PIt2r,
b3528,dctA,3,FUMt2_2;MALt2_2;SUCCt2_2,
b3603,lldP,1,D_LACt2,
b3612,gpmM,1,PGM,
b3731,atpC,1,ATPS4r,
b3732,atpD,1,ATPS4r,
b3733,atpG,1,ATPS4r,
b3734,atpA,1,ATPS4r,
b3735,atpH,1,ATPS4r,
b3736,atpF,1,ATPS4r,
b3737,atpE,1,ATPS4r,
b3738,atpB,1,ATPS4r,
b3739,atpI,1,ATPS4r,
b3870,glnA,1,GLNS,
b3916,pfkA,1,PFK,
b3919,tpiA,1,TPI,
b3925,glpX,1,FBP,
b3951,pflD,1,PFL,
b3952,pflC,1,PFL,
b3956,ppc,1,PPC,
b3962,sthA,1,NADTRHD,
b4014,aceB,1,MALS,
b4015,aceA,1,ICL,
b4025,pgi,1,PGI,
b4077,gltP,1,GLUt2r,
b4090,rpiB,1,RPI,
b4122,fumB,1,FUM,
b4151,frdD,1,FRD7,
b4152,frdC,1,FRD7,
b4153,frdB,1,FRD7,
b4154,frdA,1,FRD7,
b4232,fbp,1,FBP,
b4301,sgcE,1,RPE,
b4395,ytjC,1,PGM,
s0001,G_s0001,5,ACALDt;CO2t;H2Ot;NH4t;O2t,
