gene_id,ids,growth,status,growth_ratio,gene_name,n_reactions,essentiality_class
b1241,{'b1241'},0.8739215069684305,optimal,1.000000000000003,adhE,2,non_essential
b0351,{'b2925'},0.8739215069684305,optimal,1.000000000000003,mhpF,1,non_essential
s0001,{'b0723'},0.8142975075325314,optimal,0.9317741937228117,G_s0001,5,non_essential
b3115,{'b1779'},4.960407792924738e-16,optimal,5.676033549205172e-16,tdcD,1,essential
b1849,{'b2465'},0.8739215069684303,optimal,1.0000000000000029,purT,1,non_essential
b2296,{'b3213'},0.8739215069684307,optimal,1.0000000000000033,ackA,1,non_essential
b1276,{'b3951'},0.8739215069684305,optimal,1.000000000000003,acnA,2,non_essential
b0118,{'b3403'},0.8739215069684305,optimal,1.000000000000003,acnB,2,non_essential
b0474,{'b4153'},0.8739215069684305,optimal,1.000000000000003,adk,1,non_essential
b0116,{'b2278'},0.21166294973531022,optimal,0.242199039670684,lpd,2,partially_essential
b0726,{'b2296'},0.873921506968431,optimal,1.0000000000000036,sucA,1,non_essential
b0727,{'b1621'},0.8739215069684305,optimal,1.000000000000003,sucB,1,non_essential
b2587,{'b4015'},0.8739215069684305,optimal,1.000000000000003,kgtP,1,non_essential
b0356,{'b2464'},0.8739215069684305,optimal,1.000000000000003,frmA,1,non_essential
b1478,{'b3738'},0.3742298749331099,optimal,0.42821909284654974,adhP,1,partially_essential
b3735,{'b3962'},0.8739215069684305,optimal,1.000000000000003,atpH,1,non_essential
b3733,{'b2492'},0.8739215069684305,optimal,1.000000000000003,atpG,1,non_essential
b3734,{'b1136'},-3.743396437539173e-15,optimal,-4.283446977434794e-15,atpA,1,essential
b3732,{'b3736'},0.3742298749331099,optimal,0.42821909284654974,atpD,1,partially_essential
b3736,{'b4154'},0.8739215069684303,optimal,1.0000000000000029,atpF,1,non_essential
b3738,{'b2987'},0.8739215069684305,optimal,1.000000000000003,atpB,1,non_essential
b3731,{'b2286'},0.21166294973531022,optimal,0.242199039670684,atpC,1,partially_essential
b3737,{'b0727'},0.858307408022689,optimal,0.9821332936410925,atpE,1,non_essential
b3739,{'b3916'},0.8739215069684305,optimal,1.000000000000003,atpI,1,non_essential
b0720,{'b1817'},0.8739215069684305,optimal,1.000000000000003,gltA,1,non_essential
b0733,{'b1611'},0.8739215069684305,optimal,1.000000000000003,cydA,1,non_essential
b0979,{'b3870'},0.8739215069684305,optimal,1.000000000000003,cbdB,1,non_essential
b0978,{'b4090'},0.8739215069684305,optimal,1.000000000000003,cbdA,1,non_essential
b0734,{'b2279'},0.21166294973531022,optimal,0.242199039670684,cydB,1,partially_essential
b2975,{'b0728'},0.858307408022689,optimal,0.9821332936410925,glcA,1,non_essential
b3603,{'b1479'},0.8739215069684305,optimal,1.000000000000003,lldP,1,non_essential
b2779,{'b3739'},0.8739215069684305,optimal,1.000000000000003,eno,1,non_essential
b1773,{'b2587'},0.8739215069684305,optimal,1.000000000000003,ydjI,1,non_essential
b2925,{'b0904'},0.8739215069684305,optimal,1.000000000000003,fbaA,1,non_essential
b2097,{'b0733'},0.8739215069684305,optimal,1.000000000000003,fbaB,1,non_essential
b4232,{'b4025'},0.8631595522084181,optimal,0.9876854446604224,fbp,1,non_essential
b3925,{'b1773'},0.8739215069684306,optimal,1.000000000000003,glpX,1,non_essential
b0904,{'b0734'},0.8739215069684305,optimal,1.000000000000003,focA,2,non_essential
b2492,{'b2463'},0.8739215069684305,optimal,1.000000000000003,focB,2,non_essential
b4154,{'b0721'},0.8142975075325303,optimal,0.9317741937228103,frdA,1,non_essential
b4152,{'b4232'},0.8739215069684297,optimal,1.0000000000000022,frdC,1,non_essential
b4153,{'b1723'},0.8739215069684305,optimal,1.000000000000003,frdB,1,non_essential
b4151,{'b1702'},0.8739215069684305,optimal,1.000000000000003,frdD,1,non_essential
b1819,{'b1612'},0.8739215069684305,optimal,1.000000000000003,manZ,2,non_essential
b1817,{'b0729'},0.8583074080226898,optimal,0.9821332936410934,manX,2,non_essential
b2415,{'b3737'},0.3742298749331099,optimal,0.42821909284654974,ptsH,2,partially_essential
b1818,{'b3493'},0.8739215069684303,optimal,1.0000000000000029,manY,2,non_essential
b2416,{'b1297'},0.8739215069684305,optimal,1.000000000000003,ptsI,2,non_essential
b1611,{'b1602'},0.8739215069684305,optimal,1.000000000000003,fumC,1,non_essential
b4122,{'b1852'},0.863813309504001,optimal,0.9884335179031222,fumB,1,non_essential
b1612,{'b0809'},0.8739215069684311,optimal,1.0000000000000038,fumA,1,non_essential
b3528,{'b2975'},0.8739215069684305,optimal,1.000000000000003,dctA,3,non_essential
b1852,{'b0356'},0.8739215069684305,optimal,1.000000000000003,zwf,1,non_essential
b1779,{'b4395'},0.8739215069684305,optimal,1.000000000000003,gapA,1,non_essential
b1621,{'b2281'},0.21166294973531058,optimal,0.24219903967068443,malX,1,partially_essential
b1101,{'b0726'},0.858307408022688,optimal,0.9821332936410914,ptsG,1,non_essential
b2417,{'b4152'},0.8739215069684305,optimal,1.000000000000003,crr,1,non_essential
b3870,{'b0008'},0.8739215069684305,optimal,1.000000000000003,glnA,1,non_essential
b1297,{'b1854'},0.8739215069684305,optimal,1.000000000000003,puuA,1,non_essential
b0809,{'b2133'},0.8739215069684305,optimal,1.000000000000003,glnQ,1,non_essential
b0810,{'b2282'},0.2116629497353102,optimal,0.24219903967068399,glnP,1,partially_essential
b0811,{'b0720'},6.576345228197188e-16,optimal,7.525098279146449e-16,glnH,1,essential
b1761,{'b0755'},0.8739215069684292,optimal,1.0000000000000016,gdhA,1,non_essential
b1524,{'b0114'},0.7966959254309565,optimal,0.9116332749317939,glsB,1,non_essential
b1812,{'b2097'},0.8739215069684306,optimal,1.000000000000003,pabB,1,non_essential
b0485,{'b0116'},0.7823510529477397,optimal,0.895218903196078,glsA,1,non_essential
b3213,{'b0810'},0.8739215069684305,optimal,1.000000000000003,gltD,1,non_essential
b3212,{'b2415'},,infeasible,,gltB,1,unknown
b4077,{'b0902'},0.8739215069684306,optimal,1.000000000000003,gltP,1,non_essential
b2029,{'b1761'},0.851388523346209,optimal,0.9742162385951751,gnd,1,non_essential
b0875,{'b3528'},0.8739215069684306,optimal,1.000000000000003,aqpZ,1,non_essential
b1136,{'b2458'},0.8739215069684305,optimal,1.000000000000003,icd,1,non_essential
b4015,{'b0722'},0.8142975075325314,optimal,0.9317741937228117,aceA,1,non_essential
b2133,{'b3952'},0.8739215069684294,optimal,1.0000000000000018,dld,1,non_essential
b1380,{'b0979'},0.8739215069684305,optimal,1.000000000000003,ldhA,1,non_essential
b4014,{'b1380'},0.8739215069684305,optimal,1.000000000000003,aceB,1,non_essential
b2976,{'b3733'},0.3742298749331099,optimal,0.42821909284654974,glcB,1,partially_essential
b3236,{'b0485'},0.8739215069684303,optimal,1.0000000000000029,mdh,1,non_essential
b1479,{'b3919'},0.7040369478590248,optimal,0.8056066159777661,maeA,1,non_essential
b2463,{'b3115'},0.8739215069684307,optimal,1.0000000000000033,maeB,1,non_essential
