node_id,node_type,essentiality_class,degree
ACALD,reaction,unknown,2
ALCD2x,reaction,unknown,3
b1241,gene,unknown,2
H2Ot,reaction,unknown,2
NH4t,reaction,unknown,2
s0001,gene,unknown,5
ACKr,reaction,unknown,3
PDH,reaction,unknown,3
AKGDH,reaction,unknown,3
b0116,gene,unknown,2
ATPS4r,reaction,unknown,9
CYTBD,reaction,unknown,4
D_LACt2,reaction,unknown,2
FBA,reaction,unknown,3
FBP,reaction,unknown,2
FRD7,reaction,unknown,4
GLCpts,reaction,unknown,8
FUM,reaction,unknown,3
b3528,gene,unknown,3
GLNS,reaction,unknown,2
GLNabc,reaction,unknown,3
GLUN,reaction,unknown,3
GLUSy,reaction,unknown,2
LDH_D,reaction,unknown,2
MALS,reaction,unknown,2
NADH16,reaction,unknown,13
NADTRHD,reaction,unknown,3
PFK,reaction,unknown,2
PFL,reaction,unknown,6
PGM,reaction,unknown,3
PIt2r,reaction,unknown,2
PTAr,reaction,unknown,2
PYK,reaction,unknown,2
RPE,reaction,unknown,2
RPI,reaction,unknown,2
SUCDi,reaction,unknown,4
SUCOAS,reaction,unknown,2
TALA,reaction,unknown,2
