ids,growth,status,reaction_id,growth_ratio,essentiality_class
{'ENO'},1.5208622319983277e-15,optimal,0,1.7402732623826729e-15,essential
{'FORti'},0.8739215069684287,optimal,1,1.000000000000001,non_essential
{'PPCK'},0.8739215069684305,optimal,2,1.000000000000003,non_essential
{'THD2'},0.8739215069684305,optimal,3,1.000000000000003,non_essential
{'ACt2r'},0.8739215069684305,optimal,4,1.000000000000003,non_essential
{'ETOHt2r'},0.8739215069684305,optimal,5,1.000000000000003,non_essential
{'ACALDt'},0.8739215069684305,optimal,6,1.000000000000003,non_essential
{'G6PDH2r'},0.863813309504001,optimal,7,0.9884335179031222,non_essential
{'SUCCt3'},0.8739215069684305,optimal,8,1.000000000000003,non_essential
{'SUCOAS'},0.8583074080226898,optimal,9,0.9821332936410934,non_essential
{'AKGDH'},0.8583074080226881,optimal,10,0.9821332936410915,non_essential
{'Biomass_Ecoli_core'},0.0,optimal,11,0.0,essential
{'ATPM'},0.9166474637510491,optimal,12,1.048889924829559,non_essential
{'ADK1'},0.8739215069684305,optimal,13,1.000000000000003,non_essential
{'FBA'},0.7040369478590248,optimal,14,0.8056066159777661,non_essential
{'PIt2r'},-7.857562750067985e-15,optimal,15,-8.991153882143622e-15,essential
{'EX_succ_e'},0.8739215069684305,optimal,16,1.000000000000003,non_essential
{'SUCCt2_2'},0.8739215069684305,optimal,17,1.000000000000003,non_essential
{'GLUt2r'},0.8739215069684307,optimal,18,1.0000000000000033,non_essential
{'EX_acald_e'},0.8739215069684307,optimal,19,1.0000000000000033,non_essential
{'FRD7'},0.8739215069684305,optimal,20,1.000000000000003,non_essential
{'EX_fum_e'},0.8739215069684305,optimal,21,1.000000000000003,non_essential
{'FUM'},0.8142975075325306,optimal,22,0.9317741937228108,non_essential
{'TKT2'},0.8666740848328229,optimal,23,0.9917070102087936,non_essential
{'EX_ac_e'},0.8739215069684305,optimal,24,1.000000000000003,non_essential
{'EX_mal__L_e'},0.8739215069684305,optimal,25,1.000000000000003,non_essential
{'GLUN'},0.8739215069684305,optimal,26,1.000000000000003,non_essential
{'LDH_D'},0.8739215069684305,optimal,27,1.000000000000003,non_essential
{'RPE'},0.8657155608953035,optimal,28,0.9906102023949609,non_essential
{'NADTRHD'},0.8739215069684305,optimal,29,1.000000000000003,non_essential
{'O2t'},0.2116629497353101,optimal,30,0.2421990396706839,partially_essential
{'EX_pyr_e'},0.8739215069684314,optimal,31,1.000000000000004,non_essential
{'GLCpts'},,infeasible,32,,unknown
{'NH4t'},0.0,optimal,33,0.0,essential
{'EX_h_e'},-1.6862146115041317e-15,optimal,34,-1.9294806204661235e-15,essential
{'ME1'},0.8739215069684306,optimal,35,1.000000000000003,non_essential
{'EX_pi_e'},-2.664219086176528e-15,optimal,36,-3.048579380336475e-15,essential
{'EX_for_e'},0.8739215069684311,optimal,37,1.0000000000000038,non_essential
{'CO2t'},0.4616696141601349,optimal,38,0.5282735468562094,non_essential
{'H2Ot'},0.38351544929678316,optimal,39,0.4388442740437539,partially_essential
{'MDH'},0.8258192905969891,optimal,40,0.9449581959158987,non_essential
{'EX_glc__D_e'},,infeasible,41,,unknown
{'PTAr'},0.8739215069684305,optimal,42,1.000000000000003,non_essential
{'FUMt2_2'},0.8739215069684305,optimal,43,1.000000000000003,non_essential
{'CYTBD'},0.21166294973531008,optimal,44,0.24219903967068387,partially_essential
{'MALt2_2'},0.8739215069684306,optimal,45,1.000000000000003,non_essential
{'GAPD'},4.960407792924738e-16,optimal,46,5.676033549205172e-16,essential
{'NADH16'},0.21166294973530952,optimal,47,0.24219903967068324,partially_essential
{'GND'},0.863813309504001,optimal,48,0.9884335179031222,non_essential
{'PPC'},0.8707448062160253,optimal,49,0.9963650044917395,non_essential
{'TALA'},0.8647591548314774,optimal,50,0.9895158179952178,non_essential
{'TKT1'},0.8647591548314763,optimal,51,0.9895158179952166,non_essential
{'EX_co2_e'},0.4616696141601349,optimal,52,0.5282735468562094,non_essential
{'ICL'},0.8739215069684314,optimal,53,1.000000000000004,non_essential
{'PFK'},0.7040369478590247,optimal,54,0.8056066159777658,non_essential
{'ME2'},0.8739215069684305,optimal,55,1.000000000000003,non_essential
{'PFL'},0.8739215069684305,optimal,56,1.000000000000003,non_essential
{'PYK'},0.8649260179498692,optimal,57,0.9897067540427477,non_essential
{'ACONTa'},-5.567065524108516e-15,optimal,58,-6.370212289911796e-15,essential
{'PGM'},3.8030653339495604e-16,optimal,59,4.3517241578618725e-16,essential
{'EX_akg_e'},0.8739215069684305,optimal,60,1.000000000000003,non_essential
{'GLUSy'},0.8739215069684305,optimal,61,1.000000000000003,non_essential
{'FORt2'},0.8739215069684305,optimal,62,1.000000000000003,non_essential
{'ACONTb'},-5.684845073661212e-16,optimal,63,-6.504983603597924e-16,essential
{'PGL'},0.863813309504,optimal,64,0.9884335179031211,non_essential
{'EX_nh4_e'},6.744858446016528e-17,optimal,65,7.717922481864494e-17,essential
{'PGI'},0.8631595522084181,optimal,66,0.9876854446604224,non_essential
{'FRUpts2'},0.8739215069684305,optimal,67,1.000000000000003,non_essential
{'EX_gln__L_e'},0.8739215069684305,optimal,68,1.000000000000003,non_essential
{'FBP'},0.8739215069684311,optimal,69,1.0000000000000038,non_essential
{'TPI'},0.7040369478590248,optimal,70,0.8056066159777661,non_essential
